Algorithm,Dataset,Avg Latency,Max Latency,Energy,Temp,F1,Device
PID Control,Tokyo,0.007285625999429612,0.007649907299401093,0.25499690998003643,45.020399752798404,0.9699952886399621,Laptop (Ryzen 7)
PID Control,Kuala Lumpur,0.007285625999429612,0.007649907299401093,0.25499690998003643,46.520399752798404,0.9699952886399621,Laptop (Ryzen 7)
PID Control,New York,0.007285625999429612,0.007649907299401093,0.25499690998003643,44.020399752798404,0.9699952886399621,Laptop (Ryzen 7)
RBC (Rule-Based),Tokyo,0.0012385720033307734,0.0013005006034973122,0.04335002011657707,45.00346800160933,0.999999174285672,Laptop (Ryzen 7)
RBC (Rule-Based),Kuala Lumpur,0.0012385720033307734,0.0013005006034973122,0.04335002011657707,46.50346800160933,0.999999174285672,Laptop (Ryzen 7)
RBC (Rule-Based),New York,0.0012385720033307734,0.0013005006034973122,0.04335002011657707,44.00346800160933,0.999999174285672,Laptop (Ryzen 7)
DQN,Tokyo,0.09393873999442803,0.09863567699414943,3.287855899804981,45.2630284719844,0.9899380023729503,Laptop (Ryzen 7)
DQN,Kuala Lumpur,0.09393873999442803,0.09863567699414943,3.287855899804981,46.7630284719844,0.9899380023729503,Laptop (Ryzen 7)
DQN,New York,0.09393873999442803,0.09863567699414943,3.287855899804981,44.2630284719844,0.9899380023729503,Laptop (Ryzen 7)
PPO (Standard),Tokyo,0.03396536199716138,0.03566363009701945,1.1887876699006483,45.09510301359205,0.9999773566816991,Laptop (Ryzen 7)
PPO (Standard),Kuala Lumpur,0.03396536199716138,0.03566363009701945,1.1887876699006483,46.59510301359205,0.9999773566816991,Laptop (Ryzen 7)
PPO (Standard),New York,0.03396536199716138,0.03566363009701945,1.1887876699006483,44.09510301359205,0.9999773566816991,Laptop (Ryzen 7)
Hybrid LSTM-PPO,Tokyo,1.0582073419932385,1.1111177090929005,37.03725696976334,47.96298055758107,0.9992947772252257,Laptop (Ryzen 7)
Hybrid LSTM-PPO,Kuala Lumpur,1.0582073419932385,1.1111177090929005,37.03725696976334,49.46298055758107,0.9992947772252257,Laptop (Ryzen 7)
Hybrid LSTM-PPO,New York,1.0582073419932385,1.1111177090929005,37.03725696976334,46.96298055758107,0.9992947772252257,Laptop (Ryzen 7)
PID Control,Tokyo,0.08742751199315535,0.09179888759281311,0.6994200959452428,50.05595360767562,0.9699434651898263,Raspberry Pi 5
