Step,Temp,Setpoint,Power
1,22.350283,26.94736842105263,3714.9707
2,22.66305,26.105263157894736,3712.0742
3,22.82036,26.105263157894736,3616.7573
4,22.898357,26.105263157894736,3486.5984
5,22.956078,26.105263157894736,3358.0283
6,23.01382,26.105263157894736,3262.1365
7,23.06541,26.105263157894736,3207.7144
8,23.107155,26.105263157894736,3175.8691
9,23.13993,26.105263157894736,3156.9412
10,23.16565,26.105263157894736,3146.9014
11,23.185762,26.105263157894736,3143.142
12,23.201239,26.105263157894736,3141.8013
13,23.212988,26.105263157894736,3143.9194
14,23.221733,26.105263157894736,3148.4258
15,23.228033,26.105263157894736,3154.7056
16,23.232347,26.105263157894736,3164.297
17,23.235044,26.105263157894736,3175.2854
18,23.236427,26.105263157894736,3187.2068
19,23.236742,26.105263157894736,3199.8247
20,23.236195,26.105263157894736,3213.801
21,23.234945,26.105263157894736,3228.375
22,23.233126,26.105263157894736,3243.4004
23,23.230843,26.105263157894736,3258.8196
24,23.24795,26.105263157894736,3020.559
25,23.248539,26.105263157894736,3014.1917
26,23.248661,26.105263157894736,3030.1113
27,23.248785,26.105263157894736,3031.3167
28,23.248867,26.105263157894736,3039.2148
29,23.248917,26.105263157894736,2983.0417
30,23.248957,26.105263157894736,2692.2622
31,23.249,26.105263157894736,2414.9658
32,24.352596,26.105263157894736,453.98785
33,24.42061,24.42105263157895,1508.3174
34,24.003824,24.0,1805.6758
35,24.00088,24.0,2194.795
36,23.999985,24.0,3777.6096
37,23.998741,24.0,4720.23
38,23.998074,24.0,5556.1973
39,23.997746,24.0,6206.8823
40,23.99756,24.0,6780.5435
41,23.997498,24.0,7223.955
42,23.997324,24.0,7632.0654
43,23.997541,24.0,7972.0176
44,23.9979,24.0,7722.3237
45,23.998106,24.0,7976.669
46,23.99823,24.0,8259.409
47,23.998295,24.0,8583.819
48,23.998558,24.0,7714.51
49,23.99869,24.0,7914.838
50,23.998785,24.0,8129.3823
51,23.998844,24.0,8341.368
52,23.998693,24.0,9788.171
53,23.998531,24.0,10190.661
54,23.998362,24.0,10506.596
55,23.998222,24.0,10791.43
56,23.998377,24.0,10829.878
57,23.998478,24.0,10478.141
58,23.998543,24.0,10145.322
59,23.998554,24.0,9846.323
60,23.998535,24.0,9204.787
61,23.99841,24.0,8932.03
62,23.99838,24.0,8542.724
63,23.99844,24.0,8085.189
64,23.998934,24.0,6970.6855
65,23.999228,24.0,6262.96
66,23.999273,24.0,5881.34
67,25.952003,26.105263157894736,1240.6456
68,23.999735,24.0,5616.0137
69,26.043774,26.105263157894736,1015.84143
70,23.999691,24.0,5989.617
71,26.06261,26.105263157894736,976.93604
72,24.000114,24.0,3138.2412
73,24.653517,26.105263157894736,1030.5663
74,25.095291,26.94736842105263,1062.1652
75,25.23314,26.94736842105263,1072.4796
76,25.100218,26.94736842105263,824.15186
77,24.900803,26.94736842105263,823.1607
78,24.718737,26.94736842105263,811.18677
79,24.580711,26.94736842105263,801.7578
80,24.143763,26.94736842105263,781.8535
81,23.826492,24.842105263157894,765.725
82,23.639357,26.94736842105263,757.17236
83,23.479279,26.94736842105263,745.0327
84,23.268017,26.94736842105263,665.8572
85,23.251026,26.94736842105263,1068.0038
86,23.250216,26.94736842105263,1028.9266
87,23.250286,26.94736842105263,1321.4845
88,23.250345,26.94736842105263,1665.1049
89,23.25039,26.94736842105263,1869.8396
90,23.25042,26.94736842105263,2051.376
91,23.25044,26.94736842105263,2193.7166
92,23.250364,26.94736842105263,2319.103
93,23.250372,26.94736842105263,2415.337
94,23.25038,26.94736842105263,2494.8252
95,23.250385,26.94736842105263,2562.675
96,23.25039,26.105263157894736,2628.2249
97,23.250391,26.105263157894736,2695.2534
98,23.250393,26.105263157894736,2750.082
99,23.250395,26.105263157894736,2800.0635
100,23.250397,26.105263157894736,2848.95
101,23.250397,26.94736842105263,2895.206
102,23.250397,26.94736842105263,2939.1301
103,23.250397,26.94736842105263,2981.0696
104,23.250397,26.94736842105263,3011.5405
105,23.250397,26.94736842105263,3038.944
106,23.250393,26.94736842105263,3062.5977
107,23.25039,26.94736842105263,3085.2983
108,23.250383,26.94736842105263,3112.5188
109,23.250378,26.94736842105263,3139.1636
