Step,Temp,Setpoint,Power,Mode
0,22.350283,28.0,3714.9707,SHIELD_ACTIVE
1,22.66305,28.0,3712.0742,SHIELD_ACTIVE
2,22.82036,28.0,3616.7573,SHIELD_ACTIVE
3,22.898357,28.0,3486.5984,SHIELD_ACTIVE
4,22.956078,28.0,3358.0283,SHIELD_ACTIVE
5,23.01382,28.0,3262.1365,SHIELD_ACTIVE
6,23.06541,28.0,3207.7144,SHIELD_ACTIVE
7,23.107155,28.0,3175.8691,SHIELD_ACTIVE
8,23.13993,28.0,3156.9412,SHIELD_ACTIVE
9,23.16565,28.0,3146.9014,SHIELD_ACTIVE
10,23.185762,28.0,3143.142,SHIELD_ACTIVE
11,23.201239,28.0,3141.8013,SHIELD_ACTIVE
12,22.658094,23.542377,503.24838,LSTM_AI
13,22.836884,28.0,3693.6235,SHIELD_ACTIVE
14,22.984331,28.0,3380.443,SHIELD_ACTIVE
15,23.07018,28.0,3241.319,SHIELD_ACTIVE
16,23.105637,28.0,3332.9146,SHIELD_ACTIVE
17,23.125116,28.0,3279.3057,SHIELD_ACTIVE
18,23.141397,28.0,3271.2341,SHIELD_ACTIVE
19,23.155735,28.0,3271.2622,SHIELD_ACTIVE
20,23.167095,28.0,3275.379,SHIELD_ACTIVE
21,23.175528,28.0,3282.447,SHIELD_ACTIVE
22,23.181633,28.0,3291.6836,SHIELD_ACTIVE
23,23.244791,28.0,3150.7495,SHIELD_ACTIVE
24,22.744192,23.542377,427.4188,LSTM_AI
25,22.957582,28.0,3619.5781,SHIELD_ACTIVE
26,23.119387,28.0,3524.8457,SHIELD_ACTIVE
27,23.210178,28.0,3227.3337,SHIELD_ACTIVE
28,22.697027,23.542377,424.75867,LSTM_AI
29,23.020882,28.0,3403.4683,SHIELD_ACTIVE
30,23.101927,28.0,2617.4014,SHIELD_ACTIVE
31,24.228655,28.0,464.84387,SHIELD_ACTIVE
32,23.547102,23.542377,2003.9117,LSTM_AI
33,23.543682,23.542377,2176.641,LSTM_AI
34,23.543095,23.542377,2672.7456,LSTM_AI
35,23.541494,23.542377,4597.0156,LSTM_AI
36,23.540375,23.542377,5649.1,LSTM_AI
37,23.53998,23.542377,6426.0557,LSTM_AI
38,23.53988,23.542377,6931.714,LSTM_AI
39,23.539835,23.542377,7402.9517,LSTM_AI
40,23.540005,23.542377,7773.651,LSTM_AI
41,23.540243,23.542377,8100.7793,LSTM_AI
42,23.540413,23.542377,8461.821,LSTM_AI
43,23.540628,23.542377,8241.386,LSTM_AI
44,23.540745,23.542377,8589.96,LSTM_AI
45,23.540813,23.542377,8954.415,LSTM_AI
46,23.540846,23.542377,9327.427,LSTM_AI
47,23.541061,23.542377,8374.021,LSTM_AI
48,23.541182,23.542377,8592.848,LSTM_AI
49,23.541265,23.542377,8824.792,LSTM_AI
50,23.541317,23.542377,9057.178,LSTM_AI
51,23.541176,23.542377,10645.868,LSTM_AI
52,23.54101,23.542377,11084.184,LSTM_AI
53,23.54084,23.542377,11414.667,LSTM_AI
54,23.540707,23.542377,11726.694,LSTM_AI
55,23.540558,23.542377,11810.941,LSTM_AI
56,23.540445,23.542377,11474.009,LSTM_AI
57,23.540375,23.542377,11119.971,LSTM_AI
58,23.540684,23.542377,10718.155,LSTM_AI
59,23.540882,23.542377,9916.471,LSTM_AI
60,23.540802,23.542377,9532.085,LSTM_AI
61,23.540773,23.542377,9113.334,LSTM_AI
62,23.540821,23.542377,8665.054,LSTM_AI
63,23.54131,23.542377,7531.458,LSTM_AI
64,23.541601,23.542377,6811.8784,LSTM_AI
65,23.541649,23.542377,6411.7344,LSTM_AI
66,23.541708,23.542377,6058.168,LSTM_AI
67,23.541796,23.542377,5916.6147,LSTM_AI
68,23.541903,23.542377,5749.3374,LSTM_AI
69,23.54197,23.542377,5688.354,LSTM_AI
70,23.542116,23.542377,5495.765,LSTM_AI
71,23.541843,23.542377,2610.0908,LSTM_AI
72,23.541763,23.542377,2364.8645,LSTM_AI
73,23.541784,23.542377,2226.5166,LSTM_AI
74,23.541784,23.542377,2113.1526,LSTM_AI
75,23.541763,23.542377,1264.712,LSTM_AI
76,23.541666,23.542377,1187.31,LSTM_AI
77,23.541763,23.542377,1072.649,LSTM_AI
78,23.541842,23.542377,980.6504,LSTM_AI
79,23.344398,23.542377,701.04376,LSTM_AI
80,23.11395,23.542377,703.8161,LSTM_AI
81,23.243761,28.0,1300.9001,SHIELD_ACTIVE
82,23.129925,23.542377,687.59924,LSTM_AI
83,23.245346,28.0,2043.6284,SHIELD_ACTIVE
84,22.974606,23.542377,605.203,LSTM_AI
85,23.132788,28.0,2989.5552,SHIELD_ACTIVE
86,23.246353,28.0,2144.253,SHIELD_ACTIVE
87,22.95015,23.542377,577.21533,LSTM_AI
88,23.05892,28.0,3583.4573,SHIELD_ACTIVE
89,23.232841,28.0,2469.3748,SHIELD_ACTIVE
90,22.76536,23.542377,553.7473,LSTM_AI
91,22.953901,28.0,3713.9597,SHIELD_ACTIVE
92,23.121279,28.0,2700.7583,SHIELD_ACTIVE
93,23.223166,28.0,3057.3545,SHIELD_ACTIVE
94,22.714828,23.542377,537.0362,LSTM_AI
95,22.897263,28.0,3726.9636,SHIELD_ACTIVE
96,23.057587,28.0,3021.136,SHIELD_ACTIVE
97,23.15541,28.0,3147.3057,SHIELD_ACTIVE
98,23.198025,28.0,3161.6577,SHIELD_ACTIVE
99,23.220787,28.0,3138.903,SHIELD_ACTIVE
100,22.68576,23.542377,518.37427,LSTM_AI
101,22.865753,28.0,3708.4087,SHIELD_ACTIVE
102,23.01684,28.0,3383.555,SHIELD_ACTIVE
103,23.10506,28.0,3248.532,SHIELD_ACTIVE
104,23.141235,28.0,3334.0232,SHIELD_ACTIVE
105,23.160444,28.0,3275.336,SHIELD_ACTIVE
106,23.17626,28.0,3262.4412,SHIELD_ACTIVE
107,23.189417,28.0,3261.5303,SHIELD_ACTIVE
108,23.199156,28.0,3265.318,SHIELD_ACTIVE
109,23.205854,28.0,3271.2854,SHIELD_ACTIVE
110,22.6536,23.542377,497.36816,LSTM_AI
111,22.82931,28.0,3687.7046,SHIELD_ACTIVE
112,22.97039,28.0,3651.0586,SHIELD_ACTIVE
113,23.049957,28.0,3386.6086,SHIELD_ACTIVE
114,23.0805,28.0,3486.281,SHIELD_ACTIVE
115,23.096615,28.0,3424.9756,SHIELD_ACTIVE
116,23.11067,28.0,3403.969,SHIELD_ACTIVE
117,23.123232,28.0,3394.3347,SHIELD_ACTIVE
118,23.133312,28.0,3389.593,SHIELD_ACTIVE
119,23.199587,28.0,3242.6018,SHIELD_ACTIVE
120,23.247343,28.0,3236.2957,SHIELD_ACTIVE
121,22.730791,23.542377,418.5077,LSTM_AI
122,22.939926,28.0,3610.1672,SHIELD_ACTIVE
123,23.097092,28.0,3607.5928,SHIELD_ACTIVE
124,23.185211,28.0,3360.083,SHIELD_ACTIVE
125,23.226112,28.0,3096.3567,SHIELD_ACTIVE
126,22.704357,23.542377,416.0108,LSTM_AI
127,24.40703,28.0,444.5665,SHIELD_ACTIVE
128,23.54739,23.542377,1969.0848,LSTM_AI
129,23.543419,23.542377,2118.211,LSTM_AI
130,23.542664,23.542377,2626.4448,LSTM_AI
131,23.540428,23.542377,4734.667,LSTM_AI
132,23.539747,23.542377,5634.591,LSTM_AI
133,23.540756,23.542377,6176.7715,LSTM_AI
134,23.540943,23.542377,6468.571,LSTM_AI
135,23.541035,23.542377,6989.807,LSTM_AI
136,23.5411,23.542377,7506.867,LSTM_AI
137,23.541143,23.542377,8010.3857,LSTM_AI
138,23.540668,23.542377,8492.816,LSTM_AI
139,23.540728,23.542377,8356.255,LSTM_AI
140,23.540815,23.542377,8715.632,LSTM_AI
141,23.540892,23.542377,9042.721,LSTM_AI
142,23.54095,23.542377,9347.967,LSTM_AI
143,23.54162,23.542377,8329.087,LSTM_AI
144,23.541744,23.542377,8473.277,LSTM_AI
145,23.541538,23.542377,8546.904,LSTM_AI
146,23.541582,23.542377,8627.121,LSTM_AI
147,23.541529,23.542377,9968.039,LSTM_AI
148,23.541403,23.542377,10194.204,LSTM_AI
149,23.541267,23.542377,10527.731,LSTM_AI
150,23.54116,23.542377,10819.111,LSTM_AI
151,23.541058,23.542377,11191.905,LSTM_AI
152,23.540953,23.542377,11164.753,LSTM_AI
153,23.540857,23.542377,11032.275,LSTM_AI
