Algorithm,Seed,Energy_kWh,Violations,Avg_Comfort,Accuracy
Hybrid,0,33067.426,5,0.57500565,99.9857305936073
Hybrid,1,33067.426,5,0.57500565,99.9857305936073
Hybrid,2,33067.426,5,0.57500565,99.9857305936073
Hybrid,3,33067.426,5,0.57500565,99.9857305936073
Hybrid,4,33067.426,5,0.57500565,99.9857305936073
Hybrid,5,33067.426,5,0.57500565,99.9857305936073
Hybrid,6,33067.426,5,0.57500565,99.9857305936073
Hybrid,7,33067.426,5,0.57500565,99.9857305936073
Hybrid,8,33067.426,5,0.57500565,99.9857305936073
Hybrid,9,33067.426,5,0.57500565,99.9857305936073
