Step,Temp,Setpoint,Power,Mode
1,21.472456,28.0,6843.804,SHIELD_ACTIVE
2,21.63654,28.0,6843.804,SHIELD_ACTIVE
3,21.758413,28.0,6843.804,SHIELD_ACTIVE
4,21.808624,28.0,6843.804,SHIELD_ACTIVE
5,21.877316,28.0,6843.804,SHIELD_ACTIVE
6,21.948414,28.0,6843.804,SHIELD_ACTIVE
7,22.013393,28.0,6843.804,SHIELD_ACTIVE
8,22.069418,28.0,6843.804,SHIELD_ACTIVE
9,22.117147,28.0,6843.804,SHIELD_ACTIVE
10,22.157608,28.0,6843.804,SHIELD_ACTIVE
11,22.19135,28.0,6843.804,SHIELD_ACTIVE
12,22.219181,28.0,6843.804,SHIELD_ACTIVE
13,22.24179,28.0,6843.804,SHIELD_ACTIVE
14,22.25979,28.0,6843.804,SHIELD_ACTIVE
15,22.273752,28.0,6843.804,SHIELD_ACTIVE
16,22.284224,28.0,6843.804,SHIELD_ACTIVE
17,22.291693,28.0,6843.804,SHIELD_ACTIVE
18,22.296602,28.0,6843.804,SHIELD_ACTIVE
19,22.299335,28.0,6843.804,SHIELD_ACTIVE
20,22.300531,28.0,6843.804,SHIELD_ACTIVE
21,22.300468,28.0,6843.804,SHIELD_ACTIVE
22,22.29929,28.0,6843.804,SHIELD_ACTIVE
23,22.297144,28.0,6843.804,SHIELD_ACTIVE
24,22.294056,28.0,7114.754,SHIELD_ACTIVE
25,22.290014,28.0,7118.3154,SHIELD_ACTIVE
26,22.285213,28.0,7121.718,SHIELD_ACTIVE
27,22.279863,28.0,7124.942,SHIELD_ACTIVE
28,22.274115,28.0,7128.0015,SHIELD_ACTIVE
29,22.268064,28.0,7130.907,SHIELD_ACTIVE
30,22.26185,28.0,7133.6675,SHIELD_ACTIVE
31,22.257223,28.0,7135.782,SHIELD_ACTIVE
32,23.498743,28.0,1905.486,SHIELD_ACTIVE
33,23.498842,23.5,1331.398,LSTM_AI
34,23.499607,23.5,796.02356,LSTM_AI
35,23.499445,23.5,466.48755,LSTM_AI
36,23.498558,23.5,185.92589,LSTM_AI
37,23.49863,23.5,189.39598,LSTM_AI
38,23.499212,23.5,223.19617,LSTM_AI
39,23.499374,23.5,713.58954,LSTM_AI
40,23.499214,23.5,1170.3594,LSTM_AI
41,23.499165,23.5,1552.2194,LSTM_AI
42,23.498903,23.5,1897.2711,LSTM_AI
43,23.498587,23.5,2180.4705,LSTM_AI
44,23.498514,23.5,2122.3782,LSTM_AI
45,23.498518,23.5,2171.6912,LSTM_AI
46,23.498554,23.5,2226.95,LSTM_AI
47,23.499048,23.5,2284.9163,LSTM_AI
48,23.49929,23.5,2241.7068,LSTM_AI
49,23.499495,23.5,2395.0886,LSTM_AI
50,23.499811,23.5,2968.6199,LSTM_AI
51,23.499735,23.5,3162.6936,LSTM_AI
52,23.499529,23.5,3640.8884,LSTM_AI
53,23.49931,23.5,3693.3362,LSTM_AI
54,23.499186,23.5,3686.1345,LSTM_AI
55,23.499035,23.5,3728.774,LSTM_AI
56,23.499166,23.5,3968.4492,LSTM_AI
57,23.499056,23.5,4100.8906,LSTM_AI
58,23.498646,23.5,4146.282,LSTM_AI
59,23.49854,23.5,4200.281,LSTM_AI
60,23.49899,23.5,4064.986,LSTM_AI
61,23.498974,23.5,4010.3801,LSTM_AI
62,23.498968,23.5,3900.9607,LSTM_AI
63,23.499096,23.5,3449.5186,LSTM_AI
64,23.499437,23.5,2902.7317,LSTM_AI
65,23.49941,23.5,2903.1902,LSTM_AI
66,23.499447,23.5,2895.253,LSTM_AI
67,23.499521,23.5,2920.0398,LSTM_AI
68,23.49953,23.5,2566.089,LSTM_AI
69,23.499504,23.5,2377.2166,LSTM_AI
70,23.498722,23.5,1254.4712,LSTM_AI
71,23.498734,23.5,1054.7269,LSTM_AI
72,23.499382,23.5,338.37714,LSTM_AI
73,23.499674,23.5,174.86516,LSTM_AI
74,23.499762,23.5,143.28093,LSTM_AI
75,23.499775,23.5,121.519035,LSTM_AI
76,23.499899,23.5,90.988686,LSTM_AI
77,23.499859,23.5,230.50531,LSTM_AI
78,23.499886,23.5,729.1951,LSTM_AI
79,23.499908,23.5,829.13416,LSTM_AI
80,23.27435,23.5,1766.6886,LSTM_AI
81,23.250904,23.5,2473.9116,LSTM_AI
82,23.250126,23.5,2544.683,LSTM_AI
83,23.250116,23.5,2786.3933,LSTM_AI
84,23.250267,23.5,3615.4438,LSTM_AI
85,23.250319,23.5,3879.266,LSTM_AI
86,23.250347,23.5,4087.6328,LSTM_AI
87,23.250366,23.5,4261.6016,LSTM_AI
88,23.250328,23.5,4403.475,LSTM_AI
89,23.250294,23.5,4531.034,LSTM_AI
90,23.250265,23.5,4646.5156,LSTM_AI
91,23.24377,23.5,4734.569,LSTM_AI
92,23.231041,23.5,4809.474,LSTM_AI
93,23.215109,23.5,4880.3745,LSTM_AI
94,23.198038,23.5,4948.7583,LSTM_AI
95,23.180674,28.0,5014.965,SHIELD_ACTIVE
96,23.160353,28.0,5062.07,SHIELD_ACTIVE
97,23.138773,28.0,5104.571,SHIELD_ACTIVE
98,23.116005,28.0,5143.069,SHIELD_ACTIVE
99,23.092379,28.0,5178.751,SHIELD_ACTIVE
100,23.07029,28.0,5203.31,SHIELD_ACTIVE
101,23.05002,28.0,5223.845,SHIELD_ACTIVE
102,23.031195,28.0,5243.3335,SHIELD_ACTIVE
103,23.013788,28.0,5257.49,SHIELD_ACTIVE
104,22.995811,28.0,5398.885,SHIELD_ACTIVE
105,22.976658,28.0,5553.179,SHIELD_ACTIVE
106,22.956314,28.0,5716.547,SHIELD_ACTIVE
107,22.934792,28.0,5887.8945,SHIELD_ACTIVE
108,22.91284,28.0,5965.0913,SHIELD_ACTIVE
109,22.890713,28.0,6038.089,SHIELD_ACTIVE
110,22.868437,28.0,6109.779,SHIELD_ACTIVE
111,22.845999,28.0,6179.1226,SHIELD_ACTIVE
112,22.824976,28.0,6221.9087,SHIELD_ACTIVE
113,22.805384,28.0,6259.882,SHIELD_ACTIVE
114,22.78678,28.0,6293.8623,SHIELD_ACTIVE
115,22.768919,28.0,6324.212,SHIELD_ACTIVE
116,22.749062,28.0,6333.686,SHIELD_ACTIVE
117,22.727543,28.0,6336.3374,SHIELD_ACTIVE
118,22.705572,28.0,6333.4453,SHIELD_ACTIVE
119,22.683924,28.0,6325.4385,SHIELD_ACTIVE
120,22.663954,28.0,6379.8306,SHIELD_ACTIVE
121,22.645594,28.0,6411.218,SHIELD_ACTIVE
122,22.628426,28.0,6441.7915,SHIELD_ACTIVE
123,22.612215,28.0,6471.424,SHIELD_ACTIVE
124,22.596668,28.0,6532.2666,SHIELD_ACTIVE
125,22.582056,28.0,6593.8267,SHIELD_ACTIVE
126,22.567904,28.0,6412.417,SHIELD_ACTIVE
127,22.556553,28.0,6166.8022,SHIELD_ACTIVE
128,23.69994,28.0,903.4491,SHIELD_ACTIVE
129,23.499498,23.5,307.039,LSTM_AI
130,23.499456,23.5,123.926506,LSTM_AI
131,23.498964,23.5,103.718765,LSTM_AI
132,23.498802,23.5,175.43086,LSTM_AI
133,23.49925,23.5,537.7343,LSTM_AI
134,23.499285,23.5,1073.6759,LSTM_AI
135,23.499346,23.5,1580.1803,LSTM_AI
136,23.499271,23.5,1818.7148,LSTM_AI
137,23.499249,23.5,2022.4526,LSTM_AI
138,23.499044,23.5,2206.4656,LSTM_AI
139,23.498737,23.5,2369.6907,LSTM_AI
140,23.49917,23.5,2632.6877,LSTM_AI
141,23.499098,23.5,2792.87,LSTM_AI
142,23.499247,23.5,3064.4617,LSTM_AI
143,23.499393,23.5,3282.157,LSTM_AI
144,23.499529,23.5,2973.6768,LSTM_AI
145,23.499584,23.5,3059.3389,LSTM_AI
146,23.499617,23.5,3156.5544,LSTM_AI
147,23.499514,23.5,3269.7283,LSTM_AI
148,23.499483,23.5,3699.875,LSTM_AI
149,23.499058,23.5,3731.6436,LSTM_AI
150,23.49896,23.5,3702.8828,LSTM_AI
151,23.498884,23.5,3676.6816,LSTM_AI
152,23.498804,23.5,3811.7114,LSTM_AI
153,23.498718,23.5,3852.4028,LSTM_AI
154,23.498636,23.5,3884.1067,LSTM_AI
155,23.498577,23.5,3916.6401,LSTM_AI
156,23.498594,23.5,3820.0662,LSTM_AI
157,23.498579,23.5,3812.609,LSTM_AI
158,23.498558,23.5,3756.2886,LSTM_AI
159,23.498991,23.5,3662.2812,LSTM_AI
160,23.49907,23.5,3028.013,LSTM_AI
161,23.499037,23.5,2931.5688,LSTM_AI
162,23.499084,23.5,2858.8489,LSTM_AI
163,23.498114,23.5,1646.9314,LSTM_AI
164,23.498386,23.5,1301.6035,LSTM_AI
165,23.49887,23.5,1065.1434,LSTM_AI
166,23.499191,23.5,862.80756,LSTM_AI
167,23.499329,23.5,690.37195,LSTM_AI
168,23.499624,23.5,186.68163,LSTM_AI
169,23.499702,23.5,165.49004,LSTM_AI
170,23.499737,23.5,133.51569,LSTM_AI
171,23.499756,23.5,111.31536,LSTM_AI
172,23.499893,23.5,90.988686,LSTM_AI
173,23.499847,23.5,454.2359,LSTM_AI
174,23.499874,23.5,906.4409,LSTM_AI
175,23.499897,23.5,1058.2874,LSTM_AI
176,23.257723,23.5,2016.0204,LSTM_AI
177,23.250431,23.5,2753.0378,LSTM_AI
178,23.250126,23.5,2763.3975,LSTM_AI
179,23.250132,23.5,3010.7776,LSTM_AI
180,23.250254,23.5,3801.5862,LSTM_AI
181,23.25027,23.5,4028.1262,LSTM_AI
182,23.250267,23.5,4189.417,LSTM_AI
183,23.250257,23.5,4314.7637,LSTM_AI
184,23.250248,23.5,4411.75,LSTM_AI
185,23.250238,23.5,4490.462,LSTM_AI
186,23.25023,23.5,4553.8477,LSTM_AI
187,23.24544,23.5,4595.533,LSTM_AI
188,23.233961,23.5,4658.09,LSTM_AI
189,23.218334,23.5,4719.2876,LSTM_AI
190,23.200956,23.5,4779.094,LSTM_AI
191,23.182953,23.5,4838.224,LSTM_AI
192,23.164001,28.0,4882.3076,SHIELD_ACTIVE
193,23.145432,28.0,4924.5015,SHIELD_ACTIVE
194,23.126703,28.0,4964.9897,SHIELD_ACTIVE
195,23.107697,28.0,5004.261,SHIELD_ACTIVE
196,23.088099,28.0,5040.0386,SHIELD_ACTIVE
197,23.068432,28.0,5071.5083,SHIELD_ACTIVE
198,23.048903,28.0,5104.0264,SHIELD_ACTIVE
199,23.029608,28.0,5132.6553,SHIELD_ACTIVE
200,23.010897,28.0,5164.752,SHIELD_ACTIVE
201,22.992779,28.0,5196.3105,SHIELD_ACTIVE
202,22.975151,28.0,5227.3354,SHIELD_ACTIVE
203,22.957964,28.0,5257.822,SHIELD_ACTIVE
204,22.939442,28.0,5306.866,SHIELD_ACTIVE
205,22.919565,28.0,5356.5776,SHIELD_ACTIVE
