Step,Temp,Setpoint,Power,Mode
0,22.350283,28.0,3714.9707,SHIELD_ACTIVE
1,22.66305,28.0,3712.0742,SHIELD_ACTIVE
2,22.82036,28.0,3616.7573,SHIELD_ACTIVE
3,22.898357,28.0,3486.5984,SHIELD_ACTIVE
4,22.956078,28.0,3358.0283,SHIELD_ACTIVE
5,23.01382,28.0,3262.1365,SHIELD_ACTIVE
6,23.06541,28.0,3207.7144,SHIELD_ACTIVE
7,23.107155,28.0,3175.8691,SHIELD_ACTIVE
8,23.13993,28.0,3156.9412,SHIELD_ACTIVE
9,23.16565,28.0,3146.9014,SHIELD_ACTIVE
10,23.185762,28.0,3143.142,SHIELD_ACTIVE
11,23.201239,28.0,3141.8013,SHIELD_ACTIVE
12,23.212988,23.736277,3143.9194,LSTM_AI
13,23.221733,23.736277,3148.4258,LSTM_AI
14,23.228033,23.736277,3154.7056,LSTM_AI
15,23.232347,23.736277,3164.297,LSTM_AI
16,23.235044,23.736277,3175.2854,LSTM_AI
17,23.236427,23.736277,3187.2068,LSTM_AI
18,23.236742,23.736277,3199.8247,LSTM_AI
19,23.236195,23.736277,3213.801,LSTM_AI
20,23.234945,23.736277,3228.375,LSTM_AI
21,23.233126,23.736277,3243.4004,LSTM_AI
22,23.230843,23.736277,3258.8196,LSTM_AI
23,23.24795,23.736277,3020.559,LSTM_AI
24,23.248539,23.736277,3014.1917,LSTM_AI
25,23.248661,23.736277,3030.1113,LSTM_AI
26,23.248785,23.736277,3031.3167,LSTM_AI
27,23.248867,23.736277,3039.2148,LSTM_AI
28,23.248917,23.736277,2983.0417,LSTM_AI
29,23.248957,23.736277,2692.2622,LSTM_AI
30,23.249,23.736277,2414.9658,LSTM_AI
31,23.7365,23.736277,1768.1932,LSTM_AI
32,23.738026,23.736277,2048.1416,LSTM_AI
33,23.737665,23.736277,2136.3638,LSTM_AI
34,23.736929,23.736277,2505.8435,LSTM_AI
35,23.735687,23.736277,4156.001,LSTM_AI
36,23.734533,23.736277,5245.1265,LSTM_AI
37,23.73402,23.736277,6069.5737,LSTM_AI
38,23.733831,23.736277,6626.6685,LSTM_AI
39,23.733727,23.736277,7150.144,LSTM_AI
40,23.733717,23.736277,7558.231,LSTM_AI
41,23.733875,23.736277,7912.235,LSTM_AI
42,23.734097,23.736277,8243.916,LSTM_AI
43,23.73438,23.736277,8000.602,LSTM_AI
44,23.734537,23.736277,8307.537,LSTM_AI
45,23.734627,23.736277,8642.36,LSTM_AI
46,23.734673,23.736277,8997.8545,LSTM_AI
47,23.734907,23.736277,8082.932,LSTM_AI
48,23.735033,23.736277,8293.822,LSTM_AI
49,23.735123,23.736277,8517.975,LSTM_AI
50,23.735176,23.736277,8742.206,LSTM_AI
51,23.735031,23.736277,10269.085,LSTM_AI
52,23.734867,23.736277,10689.305,LSTM_AI
53,23.734697,23.736277,11015.541,LSTM_AI
54,23.73456,23.736277,11317.625,LSTM_AI
55,23.73441,23.736277,11397.634,LSTM_AI
56,23.734385,23.736277,11065.446,LSTM_AI
57,23.734623,23.736277,10689.706,LSTM_AI
58,23.734741,23.736277,10300.727,LSTM_AI
59,23.73482,23.736277,9565.729,LSTM_AI
60,23.734703,23.736277,9258.578,LSTM_AI
61,23.734667,23.736277,8874.487,LSTM_AI
62,23.73472,23.736277,8419.619,LSTM_AI
63,23.73521,23.736277,7291.5713,LSTM_AI
64,23.735502,23.736277,6575.829,LSTM_AI
65,23.735548,23.736277,6183.737,LSTM_AI
66,23.735607,23.736277,5837.5913,LSTM_AI
67,23.735695,23.736277,5698.112,LSTM_AI
68,23.7358,23.736277,5532.967,LSTM_AI
69,23.735863,23.736277,5476.616,LSTM_AI
70,23.736008,23.736277,5287.62,LSTM_AI
71,23.735626,23.736277,2519.4163,LSTM_AI
72,23.735561,23.736277,2291.1724,LSTM_AI
73,23.7356,23.736277,2155.75,LSTM_AI
74,23.73561,23.736277,2041.6721,LSTM_AI
75,23.735682,23.736277,1199.9733,LSTM_AI
76,23.735538,23.736277,1147.2787,LSTM_AI
77,23.735647,23.736277,1025.1272,LSTM_AI
78,23.735739,23.736277,927.33203,LSTM_AI
79,23.506166,23.736277,718.48566,LSTM_AI
80,23.262346,23.736277,751.2052,LSTM_AI
81,23.250748,23.736277,1062.1012,LSTM_AI
82,23.250034,23.736277,960.91174,LSTM_AI
83,23.250378,23.736277,1374.4294,LSTM_AI
84,23.250463,23.736277,1820.9592,LSTM_AI
85,23.250502,23.736277,1948.9473,LSTM_AI
86,23.250525,23.736277,2131.1597,LSTM_AI
87,23.250437,23.736277,2273.6519,LSTM_AI
88,23.250444,23.736277,2376.5535,LSTM_AI
89,23.250452,23.736277,2460.0486,LSTM_AI
90,23.250454,23.736277,2529.9517,LSTM_AI
91,23.250454,23.736277,2595.49,LSTM_AI
92,23.250452,23.736277,2660.6409,LSTM_AI
93,23.250448,23.736277,2713.434,LSTM_AI
94,23.250446,23.736277,2760.974,LSTM_AI
95,23.250444,23.736277,2804.6987,LSTM_AI
96,23.25044,23.736277,2845.3264,LSTM_AI
97,23.250439,23.736277,2883.4749,LSTM_AI
98,23.250437,23.736277,2919.6082,LSTM_AI
99,23.250435,23.736277,2956.7585,LSTM_AI
100,23.250433,23.736277,2991.5398,LSTM_AI
101,23.250431,23.736277,3026.4006,LSTM_AI
102,23.25043,23.736277,3060.4614,LSTM_AI
103,23.250427,23.736277,3084.0684,LSTM_AI
104,23.250425,23.736277,3105.3176,LSTM_AI
105,23.25042,23.736277,3124.818,LSTM_AI
106,23.250414,23.736277,3142.813,LSTM_AI
107,23.250408,23.736277,3165.657,LSTM_AI
108,23.2504,23.736277,3188.284,LSTM_AI
109,23.250395,23.736277,3210.345,LSTM_AI
110,23.250387,23.736277,3231.825,LSTM_AI
111,23.250378,23.736277,3248.4111,LSTM_AI
112,23.24926,23.736277,3261.4604,LSTM_AI
113,23.24657,23.736277,3272.4404,LSTM_AI
114,23.242846,23.736277,3282.9875,LSTM_AI
115,23.238823,23.736277,3292.4326,LSTM_AI
116,23.234598,23.736277,3302.1406,LSTM_AI
117,23.23019,23.736277,3311.6768,LSTM_AI
118,23.22567,23.736277,3321.0176,LSTM_AI
119,23.247948,23.736277,3099.2275,LSTM_AI
120,23.248663,23.736277,3083.892,LSTM_AI
121,23.248768,23.736277,3109.0142,LSTM_AI
122,23.248878,23.736277,3114.4055,LSTM_AI
123,23.24895,23.736277,3123.2957,LSTM_AI
124,23.248993,23.736277,3080.0576,LSTM_AI
125,23.249025,23.736277,2798.0862,LSTM_AI
126,23.249063,23.736277,2514.1604,LSTM_AI
127,23.73645,23.736277,1697.3445,LSTM_AI
128,23.737919,23.736277,1988.7748,LSTM_AI
129,23.737404,23.736277,2081.8667,LSTM_AI
130,23.736572,23.736277,2468.9648,LSTM_AI
131,23.734701,23.736277,4326.2554,LSTM_AI
132,23.733665,23.736277,5329.7935,LSTM_AI
133,23.734585,23.736277,5923.6787,LSTM_AI
134,23.73477,23.736277,6230.95,LSTM_AI
135,23.734867,23.736277,6731.788,LSTM_AI
136,23.734936,23.736277,7229.945,LSTM_AI
137,23.734985,23.736277,7717.3647,LSTM_AI
138,23.734488,23.736277,8187.0566,LSTM_AI
139,23.73455,23.736277,8071.2754,LSTM_AI
140,23.734648,23.736277,8413.541,LSTM_AI
141,23.73473,23.736277,8732.637,LSTM_AI
142,23.73479,23.736277,9030.696,LSTM_AI
143,23.735489,23.736277,8049.602,LSTM_AI
144,23.735615,23.736277,8189.448,LSTM_AI
145,23.7354,23.736277,8261.421,LSTM_AI
146,23.735445,23.736277,8339.041,LSTM_AI
147,23.73539,23.736277,9628.255,LSTM_AI
148,23.735266,23.736277,9848.424,LSTM_AI
149,23.735128,23.736277,10172.555,LSTM_AI
150,23.735022,23.736277,10456.959,LSTM_AI
151,23.734913,23.736277,10815.668,LSTM_AI
152,23.734806,23.736277,10792.676,LSTM_AI
153,23.734707,23.736277,10666.376,LSTM_AI
154,23.734636,23.736277,10494.029,LSTM_AI
155,23.734972,23.736277,9873.396,LSTM_AI
156,23.7351,23.736277,9553.418,LSTM_AI
157,23.735033,23.736277,9195.013,LSTM_AI
158,23.734987,23.736277,8857.544,LSTM_AI
159,23.735365,23.736277,7874.5205,LSTM_AI
160,23.73562,23.736277,7195.258,LSTM_AI
161,23.735634,23.736277,6848.2124,LSTM_AI
