Step,Temp,Setpoint,Power,Mode
0,19.621983,28.0,14184.3955,SHIELD_ACTIVE
1,20.133982,28.0,14033.1875,SHIELD_ACTIVE
2,20.450855,28.0,13879.25,SHIELD_ACTIVE
3,20.71479,28.0,13909.267,SHIELD_ACTIVE
4,20.944275,28.0,13939.961,SHIELD_ACTIVE
5,21.180098,28.0,13964.096,SHIELD_ACTIVE
6,21.395346,28.0,13309.344,SHIELD_ACTIVE
7,21.546425,28.0,12947.965,SHIELD_ACTIVE
8,21.711195,28.0,12465.827,SHIELD_ACTIVE
9,21.85125,28.0,12285.54,SHIELD_ACTIVE
10,21.970322,28.0,12124.8,SHIELD_ACTIVE
11,22.083727,28.0,11960.032,SHIELD_ACTIVE
12,22.192528,28.0,11833.926,SHIELD_ACTIVE
13,22.290697,28.0,11727.764,SHIELD_ACTIVE
14,22.382093,28.0,11652.765,SHIELD_ACTIVE
15,22.46047,28.0,11628.69,SHIELD_ACTIVE
16,22.526127,28.0,11616.513,SHIELD_ACTIVE
17,22.581516,28.0,11613.842,SHIELD_ACTIVE
18,22.624912,28.0,11639.833,SHIELD_ACTIVE
19,22.661251,28.0,11655.352,SHIELD_ACTIVE
20,22.692907,28.0,11675.542,SHIELD_ACTIVE
21,22.720472,28.0,11699.41,SHIELD_ACTIVE
22,22.74386,28.0,11726.872,SHIELD_ACTIVE
23,22.816431,28.0,12939.114,SHIELD_ACTIVE
24,22.88041,28.0,12994.316,SHIELD_ACTIVE
25,22.921944,28.0,13071.32,SHIELD_ACTIVE
26,22.950438,28.0,12920.468,SHIELD_ACTIVE
27,22.974398,28.0,12694.782,SHIELD_ACTIVE
28,22.996977,28.0,12476.591,SHIELD_ACTIVE
29,23.019547,28.0,12078.306,SHIELD_ACTIVE
30,23.043438,28.0,11638.354,SHIELD_ACTIVE
31,23.460579,28.0,4945.347,SHIELD_ACTIVE
32,23.734655,23.736277,4516.759,LSTM_AI
33,23.735867,23.736277,3962.6907,LSTM_AI
34,23.735842,23.736277,3351.8887,LSTM_AI
35,23.735573,23.736277,3232.403,LSTM_AI
36,23.735622,23.736277,2499.525,LSTM_AI
37,23.73553,23.736277,2222.8074,LSTM_AI
38,23.735556,23.736277,2351.9004,LSTM_AI
39,23.735662,23.736277,2289.6597,LSTM_AI
40,23.735643,23.736277,2205.218,LSTM_AI
41,23.735357,23.736277,2004.2042,LSTM_AI
42,23.735275,23.736277,1558.9274,LSTM_AI
43,23.735321,23.736277,1437.0527,LSTM_AI
44,23.735334,23.736277,1276.2235,LSTM_AI
45,23.735336,23.736277,1029.1241,LSTM_AI
46,23.735332,23.736277,672.19275,LSTM_AI
47,23.735481,23.736277,441.93903,LSTM_AI
48,23.735563,23.736277,449.01794,LSTM_AI
49,23.735603,23.736277,434.88266,LSTM_AI
50,23.735617,23.736277,437.11615,LSTM_AI
51,23.735516,23.736277,675.52576,LSTM_AI
52,23.735449,23.736277,659.03534,LSTM_AI
53,23.735426,23.736277,655.43036,LSTM_AI
54,23.735447,23.736277,645.1842,LSTM_AI
55,23.735458,23.736277,685.5405,LSTM_AI
56,23.735449,23.736277,664.38226,LSTM_AI
57,23.73545,23.736277,632.39996,LSTM_AI
58,23.735476,23.736277,592.57477,LSTM_AI
59,23.735548,23.736277,473.46588,LSTM_AI
60,23.735577,23.736277,435.6855,LSTM_AI
61,23.735594,23.736277,401.8861,LSTM_AI
62,23.735615,23.736277,368.52606,LSTM_AI
63,23.735687,23.736277,233.79913,LSTM_AI
64,23.735683,23.736277,204.23674,LSTM_AI
65,23.73567,23.736277,179.05545,LSTM_AI
66,23.735657,23.736277,295.57465,LSTM_AI
67,23.735645,23.736277,401.07657,LSTM_AI
68,23.735638,23.736277,506.40454,LSTM_AI
69,23.735628,23.736277,614.8416,LSTM_AI
70,23.73562,23.736277,722.93866,LSTM_AI
71,23.736298,23.736277,2492.729,LSTM_AI
72,23.73633,23.736277,2861.2183,LSTM_AI
73,23.73631,23.736277,2876.9648,LSTM_AI
74,23.736258,23.736277,3170.5496,LSTM_AI
75,23.491516,23.736277,4269.7983,LSTM_AI
76,23.316122,23.736277,4732.3926,LSTM_AI
77,23.252462,23.736277,5414.306,LSTM_AI
78,23.250113,23.736277,5767.922,LSTM_AI
79,23.250109,23.736277,7236.255,LSTM_AI
80,23.25014,23.736277,7554.5386,LSTM_AI
81,23.25017,23.736277,7811.89,LSTM_AI
82,23.250196,23.736277,8034.349,LSTM_AI
83,23.250265,23.736277,8758.324,LSTM_AI
84,23.250267,23.736277,9078.135,LSTM_AI
85,23.250246,23.736277,9338.301,LSTM_AI
86,23.25023,23.736277,9570.958,LSTM_AI
87,23.250221,23.736277,9812.79,LSTM_AI
88,23.250221,23.736277,10042.069,LSTM_AI
89,23.250225,23.736277,10261.852,LSTM_AI
90,23.250227,23.736277,10474.861,LSTM_AI
91,23.25023,23.736277,10564.319,LSTM_AI
92,23.25023,23.736277,10644.813,LSTM_AI
93,23.25023,23.736277,10718.396,LSTM_AI
94,23.250227,23.736277,10783.816,LSTM_AI
95,23.250223,23.736277,10941.641,LSTM_AI
96,23.25022,23.736277,11095.836,LSTM_AI
97,23.250214,23.736277,11250.526,LSTM_AI
98,23.250208,23.736277,11404.566,LSTM_AI
99,23.2502,23.736277,11484.296,LSTM_AI
100,23.24734,23.736277,11552.279,LSTM_AI
101,23.23586,23.736277,11601.935,LSTM_AI
102,23.217493,23.736277,11648.825,LSTM_AI
103,23.203856,23.736277,11650.074,LSTM_AI
104,23.196218,23.736277,11645.76,LSTM_AI
105,23.192234,28.0,11638.813,SHIELD_ACTIVE
106,23.190403,28.0,11629.18,SHIELD_ACTIVE
107,23.178947,28.0,11679.355,SHIELD_ACTIVE
108,23.158411,28.0,11730.367,SHIELD_ACTIVE
109,23.132833,28.0,11780.859,SHIELD_ACTIVE
110,23.10467,28.0,11830.919,SHIELD_ACTIVE
111,23.086145,28.0,11820.551,SHIELD_ACTIVE
112,23.077026,28.0,11805.735,SHIELD_ACTIVE
113,23.07353,28.0,11789.297,SHIELD_ACTIVE
114,23.073711,28.0,11770.121,SHIELD_ACTIVE
115,23.06798,28.0,11831.444,SHIELD_ACTIVE
116,23.056334,28.0,11896.773,SHIELD_ACTIVE
117,23.041544,28.0,11961.951,SHIELD_ACTIVE
118,23.02523,28.0,12029.081,SHIELD_ACTIVE
119,23.068302,28.0,13216.019,SHIELD_ACTIVE
120,23.109257,28.0,13258.17,SHIELD_ACTIVE
121,23.132004,28.0,13314.231,SHIELD_ACTIVE
122,23.14465,28.0,13280.587,SHIELD_ACTIVE
123,23.148928,28.0,13084.672,SHIELD_ACTIVE
124,23.147903,28.0,12874.549,SHIELD_ACTIVE
125,23.144373,28.0,12546.453,SHIELD_ACTIVE
126,23.140945,28.0,12180.558,SHIELD_ACTIVE
127,23.520403,28.0,5780.0654,SHIELD_ACTIVE
128,23.735823,23.736277,5203.0396,LSTM_AI
129,23.735775,23.736277,4353.7256,LSTM_AI
130,23.735909,23.736277,3847.1733,LSTM_AI
131,23.73567,23.736277,2820.1797,LSTM_AI
132,23.735432,23.736277,797.14056,LSTM_AI
133,23.734993,23.736277,319.40994,LSTM_AI
134,23.734663,23.736277,616.0972,LSTM_AI
135,23.735344,23.736277,769.16595,LSTM_AI
136,23.734863,23.736277,209.98975,LSTM_AI
137,23.734854,23.736277,244.71227,LSTM_AI
138,23.734804,23.736277,277.65424,LSTM_AI
139,23.734316,23.736277,270.81775,LSTM_AI
140,23.734282,23.736277,296.9139,LSTM_AI
141,23.734318,23.736277,323.6619,LSTM_AI
142,23.734444,23.736277,373.2658,LSTM_AI
143,23.735046,23.736277,426.7291,LSTM_AI
144,23.735235,23.736277,499.01648,LSTM_AI
145,23.735281,23.736277,454.5196,LSTM_AI
146,23.735321,23.736277,424.58206,LSTM_AI
147,23.735151,23.736277,467.90933,LSTM_AI
148,23.735106,23.736277,448.5718,LSTM_AI
149,23.735106,23.736277,458.95053,LSTM_AI
150,23.735144,23.736277,479.5691,LSTM_AI
151,23.7352,23.736277,544.5655,LSTM_AI
152,23.735264,23.736277,599.6181,LSTM_AI
153,23.735334,23.736277,658.56067,LSTM_AI
154,23.735456,23.736277,780.45087,LSTM_AI
155,23.73559,23.736277,716.9476,LSTM_AI
156,23.735643,23.736277,565.68115,LSTM_AI
157,23.735668,23.736277,506.0735,LSTM_AI
158,23.73569,23.736277,452.1139,LSTM_AI
159,23.735752,23.736277,287.87125,LSTM_AI
160,23.735746,23.736277,252.65387,LSTM_AI
161,23.735725,23.736277,218.51917,LSTM_AI
162,23.735708,23.736277,434.81082,LSTM_AI
163,23.735708,23.736277,550.34283,LSTM_AI
164,23.735708,23.736277,664.95703,LSTM_AI
165,23.735699,23.736277,872.5903,LSTM_AI
166,23.735683,23.736277,1077.801,LSTM_AI
167,23.73626,23.736277,2470.3044,LSTM_AI
168,23.736286,23.736277,3150.1528,LSTM_AI
169,23.736261,23.736277,3329.9062,LSTM_AI
170,23.736216,23.736277,3773.9785,LSTM_AI
171,23.533422,23.736277,4848.433,LSTM_AI
172,23.36535,23.736277,5236.3867,LSTM_AI
173,23.254267,23.736277,5722.05,LSTM_AI
174,23.250189,23.736277,6130.5796,LSTM_AI
175,23.250128,23.736277,7522.814,LSTM_AI
176,23.250156,23.736277,7807.9624,LSTM_AI
177,23.250185,23.736277,8020.719,LSTM_AI
178,23.250212,23.736277,8194.01,LSTM_AI
179,23.250275,23.736277,8877.399,LSTM_AI
180,23.250269,23.736277,9144.516,LSTM_AI
