Step,Temp,Setpoint,Power
1,18.052969,28.0,19823.752
2,18.876974,28.0,19489.9
3,19.424044,28.0,19150.605
4,19.885214,28.0,19121.629
5,20.301996,28.0,19089.494
6,20.707413,28.0,19049.97
7,21.062336,28.0,18205.512
8,21.390196,28.0,17688.355
9,21.677294,28.0,16752.586
10,21.8774,28.0,16175.711
11,22.092209,28.0,15745.547
12,22.279194,28.0,15358.436
13,22.445724,28.0,15054.357
14,22.592722,28.0,14798.284
15,22.721102,28.0,14576.831
16,22.8236,28.0,14476.053
17,22.902985,28.0,14398.886
18,22.964327,28.0,14339.878
19,23.011919,28.0,14294.537
20,23.071852,27.952366,14188.399
21,23.144608,27.82633,14090.118
22,23.223063,27.674408,13997.556
23,23.248997,27.514648,13769.049
24,23.250658,27.48904,14669.377
25,23.25063,27.497852,14643.187
26,23.250546,27.498756,14626.313
27,23.250475,27.498951,14615.756
28,23.250452,27.499084,14580.896
29,23.250443,27.499107,14243.842
30,23.250437,27.499119,13705.744
31,23.250427,27.49913,12944.882
32,23.280552,27.49915,6314.636
33,23.46641,27.423834,5528.9766
34,23.67288,26.97425,4928.0005
35,23.851776,26.551004,4940.573
36,24.492243,26.207,3614.1716
37,24.694876,24.695282,1631.5662
38,24.48906,24.489445,1350.3817
39,24.993341,25.106396,1055.6415
40,23.6927,23.693449,1089.9789
41,25.076399,27.264923,2000.8906
42,23.499289,23.5,1233.1102
43,25.122196,27.789978,1448.5454
44,23.499533,23.5,1155.1011
45,24.949533,27.812267,1416.1617
46,23.499605,23.5,1149.6377
47,25.035873,27.725754,1454.1965
48,23.499647,23.5,1139.9873
49,24.656042,27.768818,1489.8536
50,24.093748,24.094114,4485.615
51,24.787735,26.09365,1516.6167
52,24.054676,24.048763,2648.7356
53,25.162788,26.257177,1643.0166
54,23.50074,23.5,3297.1174
55,24.78754,27.829544,1767.7491
56,23.760235,23.752766,3506.483
57,25.212898,26.993183,1686.7949
58,23.499485,23.5,2344.116
59,25.086622,27.857737,1615.3668
60,23.50097,23.5,3401.6504
61,24.810108,27.790884,1609.0488
62,23.70211,23.694204,2605.6257
63,25.07188,27.149778,1650.4282
64,23.515217,23.5,4306.548
65,24.567814,27.747898,2449.4988
66,24.358744,24.331293,3904.2424
67,25.102606,25.387047,3597.2153
68,23.501919,23.5,6408.3916
69,23.845161,27.796505,4264.1143
70,24.619482,26.138056,4556.6084
71,24.384754,24.361927,5693.11
72,23.867752,25.347431,6632.8228
73,23.492405,26.522997,6958.66
74,23.29352,27.202864,7197.474
75,23.252693,27.512402,7581.7036
76,23.250074,27.515026,9426.806
77,23.2501,27.50116,10258.146
78,23.250055,27.49979,10771.347
79,23.24999,27.499912,11190.587
80,23.249933,27.500051,12689.186
81,23.249918,27.500162,13032.115
82,23.249924,27.500172,13333.295
83,23.249933,27.500149,13606.208
84,23.249922,27.50013,14185.94
85,23.249876,27.500162,14345.311
86,23.249826,27.50027,14442.034
87,23.24981,27.500372,14500.634
88,23.249815,27.50039,14779.519
89,23.249826,27.500366,15045.481
90,23.24982,27.500341,15301.5
91,23.2498,27.500362,15550.107
92,23.249771,27.500412,15660.407
93,23.24975,27.500473,15763.181
94,23.249739,27.500511,15858.78
95,23.249739,27.500528,15950.701
96,23.249744,27.500523,15998.848
97,23.24975,27.500507,16042.051
98,23.24976,27.500496,16081.486
99,23.249767,27.500477,16117.429
100,23.249777,27.500462,16081.667
101,23.24979,27.500443,16040.145
102,23.249807,27.500412,15993.291
