Step,Temp,Setpoint,Power
1,19.621983,28.0,14184.3955
2,20.133982,28.0,14033.1875
3,20.450855,28.0,13879.25
4,20.71479,28.0,13909.267
5,20.944275,28.0,13939.961
6,21.180098,28.0,13964.096
7,21.395346,28.0,13309.344
8,21.546425,28.0,12947.965
9,21.711195,28.0,12465.827
10,21.85125,28.0,12285.54
11,21.970322,28.0,12124.8
12,22.083727,28.0,11960.032
13,22.192528,28.0,11833.926
14,22.290697,28.0,11727.764
15,22.382093,28.0,11652.765
16,22.46047,28.0,11628.69
17,22.526127,28.0,11616.513
18,22.581516,28.0,11613.842
19,22.624912,28.0,11639.833
20,22.661251,28.0,11655.352
21,22.692907,28.0,11675.542
22,22.720472,28.0,11699.41
23,22.74386,28.0,11726.872
24,22.816431,28.0,12939.114
25,22.88041,28.0,12994.316
26,22.921944,28.0,13071.32
27,22.950438,28.0,12920.468
28,22.974398,28.0,12694.782
29,22.996977,28.0,12476.591
30,23.019547,27.994757,12078.306
31,23.043438,27.949623,11638.354
32,23.460579,27.901178,4945.347
33,23.851492,26.870272,3860.515
34,24.155807,26.101559,2994.4438
35,24.415987,25.536228,2185.3198
36,25.030302,25.037937,1696.8289
37,23.578499,23.579208,851.4677
38,25.129349,27.568905,736.17487
39,23.499332,23.5,468.7117
40,25.271465,27.816343,565.3638
41,23.499323,23.5,787.26166
42,25.38976,27.887424,419.16934
43,23.49908,23.5,602.97894
44,25.3128,27.947178,303.65884
45,23.499279,23.5,621.7745
46,25.317923,27.908203,211.75938
47,23.499266,23.5,663.999
48,24.966259,27.910797,140.49129
49,23.50246,23.5,666.82086
50,24.926199,27.726978,88.10561
51,23.545044,23.5,907.7774
52,25.345707,27.60049,88.10561
53,23.499712,23.5,719.0242
54,25.35637,27.923573,88.10561
55,23.499727,23.5,689.98206
56,25.492489,27.928867,88.10561
57,23.499832,23.5,699.6902
58,25.529173,27.996664,88.10561
59,23.502369,23.5,614.74695
60,25.432783,28.0,88.10561
61,23.501986,23.5,495.3243
62,25.394865,27.961428,88.10561
63,23.501696,23.5,468.1591
64,24.946634,27.943193,88.10561
65,23.510773,23.5,455.2963
66,25.10053,27.696384,88.10561
67,23.522696,23.5,404.14062
68,24.86433,27.743526,126.16229
69,23.56424,23.564089,785.2469
70,25.06024,27.521566,202.63617
71,23.515593,23.5,653.6872
72,23.879358,27.741138,2443.6475
73,24.158651,26.0594,2594.9788
74,24.230755,25.54305,2842.878
75,24.186943,25.502438,3119.3835
76,23.778708,25.64802,4233.01
77,23.457449,26.646702,4673.968
78,23.257608,27.245731,5034.383
79,23.250334,27.584703,5757.5938
80,23.250183,27.50297,7115.181
81,23.250223,27.49971,7491.743
82,23.250252,27.499535,7765.6284
83,23.250273,27.499481,7999.2705
84,23.250353,27.499443,8730.824
85,23.250349,27.499254,9060.399
86,23.250322,27.499304,9322.561
87,23.250301,27.499369,9558.341
88,23.250286,27.499409,9802.09
89,23.250278,27.499435,10032.823
90,23.250277,27.499447,10253.751
91,23.250275,27.499447,10467.657
92,23.250273,27.49945,10557.942
93,23.250269,27.499454,10639.12
94,23.250265,27.499464,10713.279
95,23.250257,27.499472,10779.175
96,23.250252,27.499489,10937.392
97,23.250246,27.4995,11091.907
98,23.250238,27.499512,11246.89
99,23.250229,27.499527,11401.191
100,23.25022,27.499546,11481.193
101,23.247887,27.499565,11550.799
102,23.23686,27.505394,11600.565
103,23.218712,27.531792,11647.543
104,23.205156,27.571651,11648.858
105,23.197548,27.596466,11644.599
106,23.193567,27.608707,11637.701
107,23.191721,27.614857,11628.114
108,23.180237,27.617481,11678.338
109,23.15966,27.645267,11729.3955
110,23.134035,27.690968,11779.937
111,23.105822,27.744743,11830.046
112,23.087246,27.802464,11819.726
113,23.078074,27.834797,11804.96
114,23.074524,27.848438,11788.567
115,23.074654,27.852726,11769.432
116,23.06887,27.850628,11830.788
117,23.057178,27.86515,11896.147
118,23.042341,27.891489,11961.357
119,23.025982,27.922737,12028.519
120,23.06908,27.956215,13214.973
121,23.110054,27.84029,13256.746
122,23.132795,27.759405,13313.002
123,23.145424,27.723038,13279.38
124,23.14968,27.702839,13083.522
125,23.148632,27.698513,12873.45
126,23.145077,27.703259,12545.406
127,23.141626,27.711624,12179.563
128,23.520966,27.718472,5779.2744
129,23.877478,26.768398,4713.579
130,24.149107,26.066788,3601.572
131,24.391607,25.565971,2770.4736
132,25.094288,25.095535,1697.0658
133,23.499222,23.5,662.9091
134,25.02166,27.79909,696.5498
135,23.49928,23.5,896.48456
136,25.195528,27.762627,702.1964
137,23.498749,23.5,380.49756
138,25.380732,27.850891,546.9851
139,23.498667,23.5,538.76764
140,25.36629,27.943699,358.44925
141,23.498913,23.5,524.0167
142,25.468676,27.935863,218.69629
143,23.499058,23.5,600.3895
144,25.18766,27.986694,88.10561
145,23.499386,23.5,445.67822
146,25.18508,27.845366,88.10561
147,23.499504,23.5,502.5513
148,25.579723,27.84378,88.10561
149,23.499147,23.5,641.959
150,25.69274,28.0,88.10561
151,23.499273,23.5,606.1612
152,25.868862,28.0,88.10561
153,23.49951,23.5,786.3863
154,25.862608,28.0,88.10561
155,23.499578,23.5,747.8916
156,25.651606,28.0,88.10561
157,23.499603,23.5,605.6949
158,25.574432,27.961529,88.10561
159,23.50227,23.5,474.99167
160,25.312456,27.908607,88.10561
161,23.501343,23.5,390.09412
162,25.235428,27.798555,99.52583
163,23.520357,23.5,542.2689
164,25.249947,27.736927,128.39525
165,23.500294,23.5,600.56165
166,25.143183,27.81932,314.4635
167,23.517365,23.5,928.2233
168,23.990238,27.757208,2470.9863
169,24.312449,25.783087,2756.3865
170,24.39783,25.213997,3215.6252
171,24.352568,25.161652,3667.5486
172,23.93437,25.317495,4751.214
173,23.59542,26.340359,5121.8574
174,23.377438,26.978634,5403.2886
175,23.254704,27.354116,5808.456
176,23.250378,27.55196,7389.0063
177,23.25024,27.501408,7649.979
178,23.25027,27.499588,7911.5254
179,23.250292,27.499443,8106.109
180,23.250368,27.499405,8803.719
181,23.250359,27.499226,9092.108
182,23.250328,27.499287,9311.228
183,23.250307,27.49936,9502.492
184,23.250301,27.499397,9643.1455
185,23.2503,27.499401,9765.304
186,23.250296,27.499401,9873.954
187,23.250292,27.49941,9972.088
188,23.250284,27.499418,10081.056
189,23.250277,27.499435,10181.424
190,23.250267,27.49945,10277.873
191,23.250256,27.49947,10369.707
192,23.250244,27.499495,10512.509
193,23.250235,27.499517,10655.464
194,23.250223,27.499535,10798.235
195,23.243616,27.49956,10923.94
196,23.234838,27.516071,10868.853
197,23.226456,27.534712,10806.052
198,23.21885,27.551281,10738.819
199,23.211908,27.566105,10667.47
200,23.202484,27.579655,10753.024
201,23.190731,27.599743,10842.712
202,23.177746,27.624414,10933.961
203,23.1642,27.651001,11026.829
204,23.155912,27.678373,11020.031
205,23.152758,27.692318,11008.197
206,23.152882,27.696062,10995.017
207,23.155416,27.694176,10979.239
208,23.151852,27.6879,11004.411
209,23.142368,27.698078,11030.397
210,23.12968,27.720005,11056.5205
211,23.11542,27.746983,11081.98
212,23.101751,27.77629,11316.977
213,23.08879,27.803331,11559.079
214,23.075855,27.8289,11807.168
215,23.062475,27.854757,12061.061
216,23.107424,27.88174,13218.097
217,23.148643,27.762678,13233.683
218,23.170559,27.682102,13261.021
219,23.181847,27.647924,13055.382
220,23.182789,27.630663,12802.736
221,23.177094,27.633951,12550.453
222,23.168804,27.64866,11982.111
223,23.162317,27.666536,11298.903
224,23.611158,27.678608,4921.535
225,23.996044,26.553263,3835.5488
226,24.293825,25.815468,3378.5085
227,24.590971,25.263458,2743.7307
228,24.659433,24.660389,699.8143
229,24.620996,24.621862,490.4466
230,24.738815,24.740086,453.24472
231,24.402365,24.40244,583.44916
232,25.310593,25.312237,599.01935
233,23.49889,23.5,447.55167
234,25.559376,27.875866,454.26346
235,23.498775,23.5,572.44293
236,25.502213,27.994728,241.28136
237,23.498888,23.5,620.13947
238,25.60681,27.965755,88.10561
239,23.498892,23.5,636.3208
240,25.297232,28.0,88.10561
241,23.499462,23.5,553.07056
242,25.303421,27.87159,88.10561
243,23.499273,23.5,560.9165
244,25.70554,27.894886,88.10561
245,23.499203,23.5,686.27374
246,25.817097,28.0,88.10561
247,23.499268,23.5,658.50574
248,25.990694,28.0,88.10561
249,23.499231,23.5,710.7947
250,26.056927,28.0,88.10561
251,23.499197,23.5,696.12134
252,25.990292,28.0,88.10561
253,23.499529,23.5,777.82495
254,25.927238,28.0,88.10561
255,23.49922,23.5,607.82
256,25.58743,27.958586,88.10561
257,23.499435,23.5,534.485
258,25.45762,27.779455,88.10561
259,23.50162,23.5,420.33075
260,25.338898,27.713167,128.9938
261,23.501198,23.5,975.788
262,25.217918,27.67085,107.91773
263,23.503035,23.5,359.59814
264,24.005556,27.633673,1731.6188
265,24.346434,25.569372,1946.5201
266,24.437847,24.983795,2303.153
267,24.384912,24.931915,2708.4495
268,23.943766,25.121468,3981.7246
269,23.61018,26.25349,4586.2065
270,23.354546,26.946434,5094.2124
271,23.253824,27.418726,5689.64
272,23.250349,27.542713,7263.565
273,23.25022,27.50104,7384.8594
274,23.25024,27.499626,7549.0513
275,23.250256,27.499508,7631.9365
276,23.250345,27.499481,8524.853
277,23.250345,27.499264,9025.213
278,23.250317,27.49931,9470.777
279,23.250284,27.499382,9885.63
280,23.250248,27.499447,9834.493
281,23.250229,27.499523,9747.01
282,23.250221,27.499552,9646.304
283,23.250223,27.499561,9530.733
284,23.250235,27.499554,9691.085
285,23.250242,27.499525,9848.8955
286,23.250238,27.499512,10001.016
287,23.250227,27.499525,10146.431
288,23.250206,27.499552,10310.899
289,23.25019,27.4996,10474.378
290,23.250181,27.499626,10637.776
291,23.250175,27.499641,10800.942
292,23.25017,27.499653,10773.94
293,23.250168,27.499664,10738.512
294,23.250166,27.499664,10697.795
295,23.250166,27.499668,10652.094
296,23.25017,27.499668,10758.422
297,23.250172,27.499659,10867.688
298,23.25017,27.499657,10977.469
299,23.250166,27.49966,11087.631
300,23.250105,27.49967,11170.791
301,23.240301,27.49982,11227.029
302,23.221544,27.5243,11282.065
303,23.197592,27.56629,11336.038
304,23.176191,27.616793,11359.6
305,23.157982,27.658318,11381.402
306,23.141443,27.693142,11401.816
307,23.12572,27.725384,11420.898
308,23.11606,27.756424,11409.761
309,23.112165,27.772709,11395.692
310,23.112362,27.777617,11378.672
311,23.11512,27.775177,11360.224
312,23.161446,27.768381,12420.708
313,23.189898,27.653946,12479.283
314,23.19068,27.60598,12548.139
315,23.176023,27.61825,12414.607
316,23.172493,27.655281,12270.2705
317,23.182753,27.65678,12089.505
318,23.202438,27.629364,11617.968
319,23.230473,27.585281,11034.975
320,23.688608,27.525038,4643.1177
321,24.063297,26.393715,3519.7615
322,24.345509,25.686062,3029.3306
323,24.623333,25.167877,2335.625
324,24.601286,24.602089,429.54044
325,24.784792,24.78599,363.12012
326,24.288406,24.287722,494.97003
327,25.631289,25.641598,139.96643
328,23.499287,23.5,1396.3527
329,25.549404,28.0,563.5719
330,23.499271,23.5,1863.3132
331,25.65244,27.978817,405.26266
332,23.498747,23.5,627.78357
333,25.603453,28.0,222.45334
334,23.498796,23.5,632.95844
335,25.685425,27.981686,88.10561
336,23.499146,23.5,584.98944
337,25.341963,28.0,88.10561
338,23.499355,23.5,578.36896
339,25.366753,27.846954,88.10561
340,23.49947,23.5,634.65594
341,25.772738,27.87244,88.10561
342,23.49942,23.5,657.2678
343,25.858887,28.0,88.10561
344,23.499344,23.5,700.9534
345,26.00936,28.0,88.10561
346,23.499348,23.5,704.94037
347,26.001612,28.0,88.10561
348,23.499353,23.5,622.74365
349,25.885145,28.0,88.10561
350,23.499588,23.5,740.06244
351,25.7319,27.928862,88.10561
352,23.499628,23.5,567.7318
353,25.446203,27.828985,88.10561
354,23.508291,23.5,694.57983
355,25.416565,27.669031,88.10561
356,23.501328,23.5,1049.1792
357,25.27783,27.679832,102.76677
358,23.521883,23.5,577.35114
359,25.29333,27.579103,126.97277
360,23.500107,23.5,1656.1051
361,23.499659,27.661951,2739.3955
362,23.876598,26.866493,2799.6682
363,24.138687,25.986261,3378.0115
364,23.837759,25.55564,4599.734
365,23.549541,26.474945,5086.3965
366,23.342104,27.045025,5469.9204
367,23.253399,27.41951,5991.826
368,23.250322,27.537556,7502.386
369,23.250235,27.500893,7781.951
370,23.250263,27.499575,8032.872
371,23.250284,27.499458,8223.162
372,23.25037,27.49942,8888.168
373,23.250364,27.499218,9141.815
374,23.250338,27.499275,9325.924
375,23.250315,27.499338,9465.354
376,23.250303,27.499382,9516.65
377,23.250298,27.4994,9545.051
378,23.250294,27.499409,9556.691
379,23.250288,27.499414,9554.624
380,23.250284,27.499428,9650.984
381,23.250278,27.499434,9742.93
382,23.25027,27.499447,9827.955
383,23.250263,27.499462,9910.38
384,23.25021,27.499477,9228.459
385,23.2502,27.499607,9256.242
386,23.250193,27.499603,9291.625
387,23.250187,27.499619,9330.559
388,23.25018,27.49963,9370.819
389,23.250174,27.499645,9411.608
390,23.250168,27.499657,9452.329
391,23.250162,27.499668,9492.597
392,23.250156,27.49968,9495.661
393,23.25015,27.499691,9495.765
394,23.250147,27.499702,9492.723
395,23.250145,27.499708,9489.457
396,23.250143,27.49971,9521.968
397,23.250141,27.499714,9555.122
398,23.25014,27.499718,9588.081
399,23.250135,27.499722,9620.581
400,23.250128,27.499731,9558.718
401,23.250124,27.499748,9492.059
402,23.250124,27.499754,9422.532
403,23.250126,27.499752,9350.511
404,23.250132,27.499748,9341.7705
405,23.250135,27.499733,9329.236
406,23.250134,27.499727,9312.923
407,23.25013,27.499733,9293.854
408,23.250124,27.499743,9364.392
409,23.250118,27.499756,9440.214
410,23.250116,27.499767,9518.648
411,23.250114,27.499767,9560.555
412,23.250114,27.499771,9464.404
