Step,Temp,Setpoint,Power
1,18.052969,28.0,19823.752
2,18.876974,28.0,19489.9
3,19.424044,28.0,19150.605
4,19.885214,28.0,19121.629
5,20.301996,28.0,19089.494
6,20.707413,28.0,19049.97
7,21.062336,28.0,18205.512
8,21.390196,28.0,17688.355
9,21.677294,28.0,16752.586
10,21.8774,28.0,16175.711
11,22.092209,28.0,15745.547
12,22.279194,28.0,15358.436
13,22.445724,28.0,15054.357
14,22.592722,28.0,14798.284
15,22.721102,28.0,14576.831
16,22.8236,28.0,14476.053
17,22.902985,28.0,14398.886
18,22.964327,28.0,14339.878
19,23.011919,28.0,14294.537
20,23.071852,26.0,14188.399
21,23.144608,26.0,14090.118
22,23.223063,26.0,13997.556
23,23.248997,26.0,13769.049
24,23.250658,26.0,14669.377
25,23.25063,26.0,14643.187
26,23.250546,26.0,14626.313
27,23.250475,26.0,14615.756
28,23.250452,26.0,14580.896
29,23.250443,26.0,14243.842
30,23.250437,26.0,13705.744
31,23.250427,26.0,12944.882
32,23.280552,26.0,6314.636
33,23.46641,26.0,5528.9766
34,23.663666,26.0,5214.644
35,23.850235,26.0,4995.5483
36,24.510262,26.0,3452.683
37,24.90864,26.0,2361.1501
38,25.18791,26.0,1949.9729
39,23.999104,24.0,1198.4844
40,24.869774,26.0,1414.3226
41,25.469652,26.0,1567.0251
42,23.99925,24.0,1118.4398
43,25.37262,26.0,1852.0587
44,23.999475,24.0,941.8
45,25.27659,26.0,1537.076
46,23.999527,24.0,1561.5366
47,25.32114,26.0,1561.4479
48,23.999638,24.0,2413.0088
49,24.960714,26.0,1484.2573
50,25.396559,26.0,1637.1299
51,23.999704,24.0,4548.896
52,25.108707,26.0,1543.6293
53,24.007772,24.0,2368.7678
54,25.243483,26.0,1687.6315
55,24.014296,24.0,4699.217
56,25.37381,26.0,1707.3439
57,24.000368,24.0,3525.4534
58,25.412409,26.0,1624.9536
59,23.999567,24.0,4391.178
60,25.141705,26.0,1575.0455
61,24.00921,24.0,4405.1284
62,25.126394,26.0,1583.267
63,23.99985,24.0,3964.977
64,24.905518,26.0,2001.272
65,25.449913,26.0,2306.5503
66,23.999468,24.0,4466.34
67,24.270338,26.0,3372.0469
68,25.184984,26.0,3757.065
69,23.998459,24.0,5791.1562
70,24.240597,26.0,4392.685
71,25.011946,26.0,4660.1685
72,23.732239,24.0,6538.2485
73,23.48763,26.0,6867.6255
74,23.402586,26.0,7119.6235
75,23.28061,26.0,7315.2046
76,23.250113,26.0,9345.494
77,23.250122,26.0,10168.46
78,23.250084,26.0,10689.996
79,23.25002,26.0,11126.582
80,23.24997,26.0,12634.38
81,23.249947,26.0,12984.082
82,23.249947,26.0,13290.583
83,23.24995,26.0,13567.767
84,23.249935,26.0,14151.079
85,23.249887,26.0,14313.412
86,23.249836,26.0,14412.695
87,23.249817,26.0,14473.545
88,23.249823,26.0,14754.48
89,23.249832,26.0,15022.276
90,23.249825,26.0,15279.956
91,23.249802,26.0,15530.083
92,23.24977,26.0,15641.78
93,23.249746,26.0,15745.84
94,23.249735,26.0,15844.779
95,23.249733,26.0,15936.23
96,23.249737,26.0,15985.198
97,23.249744,26.0,16029.228
98,23.249752,26.0,16069.466
99,23.24976,26.0,16106.173
100,23.24977,26.0,16071.13
101,23.249783,26.0,16030.283
102,23.249802,26.0,15984.064
103,23.24982,26.0,15933.269
104,23.249842,26.0,15829.27
105,23.249863,26.0,15720.254
106,23.249882,26.0,15606.74
107,23.24989,26.0,15470.617
