Step,Temp,Setpoint,Power
1,22.350283,28.0,3714.9707
2,22.66305,28.0,3712.0742
3,22.82036,28.0,3616.7573
4,22.898357,28.0,3486.5984
5,22.956078,28.0,3358.0283
6,23.01382,28.0,3262.1365
7,23.06541,26.0,3207.7144
8,23.107155,26.0,3175.8691
9,23.13993,26.0,3156.9412
10,23.16565,26.0,3146.9014
11,23.185762,26.0,3143.142
12,23.201239,26.0,3141.8013
13,23.212988,26.0,3143.9194
14,23.221733,26.0,3148.4258
15,23.228033,26.0,3154.7056
16,23.232347,26.0,3164.297
17,23.235044,26.0,3175.2854
18,23.236427,26.0,3187.2068
19,23.236742,26.0,3199.8247
20,23.236195,26.0,3213.801
21,23.234945,26.0,3228.375
22,23.233126,26.0,3243.4004
23,23.230843,26.0,3258.8196
24,23.24795,26.0,3020.559
25,23.248539,26.0,3014.1917
26,23.248661,26.0,3030.1113
27,23.248785,26.0,3031.3167
28,23.248867,26.0,3039.2148
29,23.248917,26.0,2983.0417
30,23.248957,26.0,2692.2622
31,23.249,26.0,2414.9658
32,24.352596,26.0,453.98785
33,24.990093,26.0,472.8541
34,25.470379,26.0,573.914
35,24.000301,24.0,3472.7085
36,25.822027,26.0,849.5519
37,23.999216,24.0,7274.177
38,25.998262,26.0,1447.1091
39,23.998835,24.0,7923.4453
40,25.999998,26.0,1999.1259
41,23.998743,24.0,9474.463
42,26.000042,26.0,2361.8418
43,23.998762,24.0,9535.987
44,25.999985,26.0,2584.837
45,23.998772,24.0,10629.159
46,25.99992,26.0,2982.9543
47,23.99859,24.0,12209.212
48,25.998556,26.0,2653.0981
49,23.998835,24.0,11236.474
50,25.999346,26.0,2912.7598
51,23.998701,24.0,12189.991
52,25.999987,26.0,3765.3796
53,24.00007,24.0,13212.977
54,25.999573,26.0,4558.6367
55,24.000942,24.0,13337.914
56,25.99946,26.0,4760.7773
57,24.001265,24.0,13259.35
58,25.999454,26.0,4338.3477
59,24.000687,24.0,13155.196
60,25.999475,26.0,3666.8765
61,23.999264,24.0,12976.672
62,26.000021,26.0,2955.3777
63,23.998493,24.0,11687.432
64,25.99997,26.0,2430.5852
65,23.998415,24.0,9835.731
66,25.999792,26.0,2060.8086
67,23.998568,24.0,7396.656
68,25.99989,26.0,1763.6577
69,23.999016,24.0,6632.7393
70,25.999685,26.0,1627.1187
71,24.00023,24.0,6524.4985
72,24.974236,26.0,1061.3815
73,25.439585,26.0,1106.8435
74,23.999977,24.0,2571.7292
75,24.123497,26.0,993.4268
76,24.317379,26.0,786.252
77,24.416231,26.0,792.32837
78,24.436695,26.0,792.9887
79,24.369673,26.0,789.6815
80,23.967073,26.0,772.517
81,23.671476,26.0,757.2828
82,23.500381,26.0,749.08136
83,23.359154,26.0,737.3223
84,23.254864,26.0,845.1764
85,23.250422,26.0,1061.4852
86,23.25024,26.0,1122.5262
87,23.250309,26.0,1529.4078
88,23.250355,26.0,1770.3975
89,23.25039,26.0,1952.3644
90,23.250414,26.0,2115.8083
91,23.25043,26.0,2234.7678
92,23.250353,26.0,2350.012
93,23.250359,26.0,2436.445
94,23.250364,26.0,2509.409
95,23.250368,26.0,2572.7268
96,23.250372,26.0,2639.795
97,23.250374,26.0,2700.1562
98,23.250376,26.0,2753.2778
99,23.250378,26.0,2802.0667
100,23.250378,26.0,2850.0625
101,23.25038,26.0,2895.677
102,23.25038,26.0,2939.1316
103,23.250381,26.0,2980.7249
104,23.250381,26.0,3010.941
105,23.25038,26.0,3038.1528
106,23.250378,26.0,3061.6675
107,23.250372,26.0,3084.2603
108,23.250368,26.0,3111.398
109,23.250362,26.0,3137.981
110,23.250355,26.0,3163.6907
111,23.250349,26.0,3188.536
112,23.250341,26.0,3208.221
113,23.250336,26.0,3227.0127
114,23.250328,26.0,3244.8752
115,23.25032,26.0,3261.8306
116,23.248995,26.0,3274.4856
117,23.246046,26.0,3285.3987
118,23.242083,26.0,3295.907
119,23.237627,26.0,3306.0938
120,23.24821,26.0,3054.7524
121,23.2486,26.0,3068.3901
122,23.24871,26.0,3087.9446
123,23.24882,26.0,3097.8555
124,23.248892,26.0,3108.591
125,23.248936,26.0,3065.65
126,23.24897,26.0,2784.8254
127,23.249008,26.0,2502.2344
128,24.348213,26.0,447.5568
129,24.983236,26.0,467.01724
130,25.462008,26.0,604.3712
131,24.000164,24.0,3486.223
132,25.830734,26.0,979.8891
133,23.999458,24.0,6761.1426
134,25.987854,26.0,1571.0251
135,23.99915,24.0,7460.8657
136,25.99845,26.0,2281.2988
137,23.998999,24.0,8994.788
138,25.999706,26.0,2839.0632
139,23.998981,24.0,8997.788
140,25.999653,26.0,3231.4316
141,23.999,24.0,10090.436
142,25.999685,26.0,3500.781
143,23.998959,24.0,11156.109
144,25.927437,26.0,2984.7993
145,23.999199,24.0,10188.401
146,25.999193,26.0,2816.397
147,23.999237,24.0,10461.073
148,26.000032,26.0,3391.9612
149,23.999126,24.0,12895.1
150,26.000067,26.0,3599.9224
151,23.999756,24.0,13060.024
152,25.99965,26.0,4089.0012
153,24.000036,24.0,13085.768
154,25.999556,26.0,4144.7915
155,24.000153,24.0,13044.741
156,25.999575,26.0,3717.773
157,23.99931,24.0,12939.738
158,26.00009,26.0,3243.4177
159,23.998848,24.0,12738.668
160,25.999987,26.0,2607.9111
161,23.998291,24.0,10953.562
162,25.99988,26.0,2251.9155
163,23.998657,24.0,8301.138
164,25.999792,26.0,2005.2866
165,23.998755,24.0,7635.714
166,25.999716,26.0,1826.463
167,23.999725,24.0,6687.8887
168,25.031784,26.0,1106.1953
169,23.992067,24.0,3443.0076
170,24.670313,26.0,1067.115
171,25.118385,26.0,1095.5162
172,23.99538,24.0,2267.9187
173,23.809925,26.0,775.4762
174,24.105825,26.0,786.5306
175,24.196259,26.0,789.9057
176,24.002085,26.0,786.9431
177,23.720396,26.0,778.78876
178,23.51178,26.0,766.1056
179,23.373518,26.0,751.56396
180,23.255459,26.0,823.0176
181,23.250448,26.0,1060.4005
182,23.250233,26.0,1063.8053
183,23.25031,26.0,1421.0803
184,23.250366,26.0,1707.1211
185,23.250408,26.0,1887.9545
186,23.25044,26.0,2066.9434
187,23.250463,26.0,2201.6533
188,23.25048,26.0,2307.4739
189,23.250397,26.0,2414.1824
190,23.250402,26.0,2494.3042
191,23.250408,26.0,2563.2097
192,23.250412,26.0,2629.208
193,23.250414,26.0,2697.6887
194,23.250414,26.0,2754.2766
195,23.250412,26.0,2806.3188
196,23.250408,26.0,2853.2532
197,23.250404,26.0,2896.4072
198,23.2504,26.0,2936.4421
199,23.250397,26.0,2973.825
200,23.250391,26.0,3005.6926
201,23.250387,26.0,3035.4424
202,23.250383,26.0,3063.6724
203,23.25038,26.0,3088.6235
204,23.250376,26.0,3111.6829
205,23.250372,26.0,3133.0913
206,23.250368,26.0,3153.1174
207,23.250364,26.0,3171.9097
208,23.25036,26.0,3191.9375
209,23.250357,26.0,3211.5051
210,23.250353,26.0,3230.0
211,23.250349,26.0,3248.5635
212,23.24952,26.0,3261.8787
213,23.246979,26.0,3271.829
214,23.243187,26.0,3281.25
215,23.238764,26.0,3290.1956
216,23.248274,26.0,3033.8816
217,23.248625,26.0,3045.6577
218,23.24873,26.0,3060.3652
219,23.248833,26.0,3065.9878
220,23.24891,26.0,3073.5798
221,23.24896,26.0,3027.9478
222,23.248999,26.0,2824.7397
223,23.249037,26.0,2592.227
224,24.31745,26.0,450.8353
225,24.983816,26.0,469.55505
226,25.468964,26.0,487.71802
227,24.001041,24.0,3335.4116
228,25.80193,26.0,772.5623
229,24.000193,24.0,6388.261
230,25.998976,26.0,1369.7507
231,23.998857,24.0,7550.1313
232,25.999979,26.0,1945.7534
233,23.998774,24.0,9122.97
234,26.000048,26.0,2296.847
235,23.998716,24.0,10740.932
236,26.00004,26.0,2476.6987
237,23.998852,24.0,10023.286
238,26.000036,26.0,2596.446
239,23.998808,24.0,10792.634
240,25.999176,26.0,2481.688
241,23.999067,24.0,9793.975
242,25.999119,26.0,2512.7297
243,23.999134,24.0,9878.389
244,26.000128,26.0,2747.1775
245,23.998844,24.0,12076.065
246,26.000118,26.0,2869.081
247,23.998775,24.0,12195.013
248,26.000168,26.0,3063.1626
249,23.998667,24.0,12706.423
250,26.00017,26.0,3233.8792
251,23.998837,24.0,12748.993
252,26.000156,26.0,3066.4104
253,23.998539,24.0,12734.863
254,26.000145,26.0,2997.7678
255,23.998554,24.0,12741.709
256,26.000025,26.0,2761.793
257,23.99839,24.0,11747.221
258,25.999989,26.0,2678.4775
259,23.998371,24.0,11129.026
260,25.999949,26.0,2545.5833
261,23.998482,24.0,10763.834
262,25.99997,26.0,2336.0034
263,23.99878,24.0,8843.267
264,25.189867,26.0,1580.6799
265,23.999407,24.0,3852.525
266,24.90601,26.0,1123.058
267,25.429422,26.0,1336.3528
268,23.999825,24.0,2576.2822
269,23.85539,26.0,806.8376
270,24.213621,26.0,838.707
271,24.397743,26.0,838.55237
272,24.24341,26.0,838.32916
273,24.047274,26.0,833.27905
274,23.88764,26.0,823.3636
275,23.777523,26.0,810.89874
276,23.60837,26.0,728.8489
277,23.423853,26.0,716.0351
278,23.260658,26.0,702.9156
279,23.250505,26.0,951.64435
280,23.250034,26.0,928.5423
281,23.250109,26.0,1009.00226
282,23.250166,26.0,1057.1201
283,23.250212,26.0,1098.3763
284,23.250246,26.0,1139.6384
285,23.250273,26.0,1333.6494
286,23.250298,26.0,1541.6316
287,23.250315,26.0,1673.8394
288,23.25033,26.0,1798.5723
289,23.250341,26.0,1896.4055
290,23.250347,26.0,1973.8274
291,23.25035,26.0,2039.5371
292,23.250355,26.0,2101.265
293,23.250282,26.0,2165.385
294,23.250284,26.0,2223.0842
295,23.250286,26.0,2272.9417
296,23.25029,26.0,2321.9316
297,23.250292,26.0,2367.963
298,23.250292,26.0,2411.2263
299,23.25029,26.0,2450.9766
300,23.25029,26.0,2489.1057
301,23.250288,26.0,2530.2964
