Network,Device,Algorithm,Dataset,Net_Latency,HW_Latency,Total_Latency,Jitter,Throughput,Status
Ethernet,Laptop (Ryzen 7),PID Control,Kuala Lumpur,0.480721,0.00728563,0.488007,0.0201699,0.06592,PERFECT
Ethernet,Laptop (Ryzen 7),PID Control,New York,0.515936,0.00728563,0.523222,0.0192978,0.02496,PERFECT
Ethernet,Laptop (Ryzen 7),PID Control,Tokyo,0.486684,0.00728563,0.49397,0.0194771,0.02496,PERFECT
Ethernet,Laptop (Ryzen 7),RBC (Rule-Based),Kuala Lumpur,0.48761,0.00123857,0.488848,0.0196696,0.05568,PERFECT
Ethernet,Laptop (Ryzen 7),RBC (Rule-Based),New York,0.520154,0.00123857,0.521392,0.0192118,0.01472,PERFECT
Ethernet,Laptop (Ryzen 7),RBC (Rule-Based),Tokyo,0.491099,0.00123857,0.492337,0.020419,0.01472,PERFECT
Ethernet,Laptop (Ryzen 7),DQN,Kuala Lumpur,0.521963,0.0939387,0.615902,0.0200628,0.20928,PERFECT
Ethernet,Laptop (Ryzen 7),DQN,New York,0.50005,0.0939387,0.593989,0.0199233,0.16832,PERFECT
Ethernet,Laptop (Ryzen 7),DQN,Tokyo,0.504992,0.0939387,0.59893,0.0194696,0.16832,PERFECT
Ethernet,Laptop (Ryzen 7),PPO (Standard),Kuala Lumpur,0.492079,0.0339654,0.526045,0.0193503,0.05568,PERFECT
Ethernet,Laptop (Ryzen 7),PPO (Standard),New York,0.511443,0.0339654,0.545408,0.0194222,0.01472,PERFECT
Ethernet,Laptop (Ryzen 7),PPO (Standard),Tokyo,0.493934,0.0339654,0.5279,0.0202847,0.01472,PERFECT
Ethernet,Laptop (Ryzen 7),Hybrid LSTM-PPO,Kuala Lumpur,0.532191,1.05821,1.5904,0.019911,0.7008,PERFECT
Ethernet,Laptop (Ryzen 7),Hybrid LSTM-PPO,New York,0.546004,1.05821,1.60421,0.0203456,0.65984,PERFECT
Ethernet,Laptop (Ryzen 7),Hybrid LSTM-PPO,Tokyo,0.528957,1.05821,1.58716,0.0192491,0.65984,PERFECT
Ethernet,Raspberry Pi 5,PID Control,Kuala Lumpur,0.51453,0.0874275,0.601957,0.0203978,0.06592,PERFECT
Ethernet,Raspberry Pi 5,PID Control,New York,0.487179,0.0874275,0.574606,0.0199386,0.02496,PERFECT
Ethernet,Raspberry Pi 5,PID Control,Tokyo,0.502365,0.0874275,0.589792,0.0208621,0.02496,PERFECT
Ethernet,Raspberry Pi 5,RBC (Rule-Based),Kuala Lumpur,0.513465,0.0148629,0.528328,0.020439,0.05568,PERFECT
Ethernet,Raspberry Pi 5,RBC (Rule-Based),New York,0.512141,0.0148629,0.527004,0.0208723,0.01472,PERFECT
Ethernet,Raspberry Pi 5,RBC (Rule-Based),Tokyo,0.483694,0.0148629,0.498556,0.0194993,0.01472,PERFECT
Ethernet,Raspberry Pi 5,DQN,Kuala Lumpur,0.50237,1.12726,1.62963,0.0192206,0.20928,PERFECT
Ethernet,Raspberry Pi 5,DQN,New York,0.515834,1.12726,1.6431,0.0200409,0.16832,PERFECT
Ethernet,Raspberry Pi 5,DQN,Tokyo,0.499009,1.12726,1.62627,0.0190506,0.16832,PERFECT
Ethernet,Raspberry Pi 5,PPO (Standard),Kuala Lumpur,0.485667,0.407584,0.893251,0.0207785,0.05568,PERFECT
Ethernet,Raspberry Pi 5,PPO (Standard),New York,0.506187,0.407584,0.913771,0.0203919,0.01472,PERFECT
Ethernet,Raspberry Pi 5,PPO (Standard),Tokyo,0.512525,0.407584,0.92011,0.0202092,0.01472,PERFECT
Ethernet,Raspberry Pi 5,Hybrid LSTM-PPO,Kuala Lumpur,0.560546,12.6985,13.259,0.0206367,0.7008,GOOD
Ethernet,Raspberry Pi 5,Hybrid LSTM-PPO,New York,0.551784,12.6985,13.2503,0.0195612,0.65984,GOOD
Ethernet,Raspberry Pi 5,Hybrid LSTM-PPO,Tokyo,0.515183,12.6985,13.2137,0.019942,0.65984,GOOD
Ethernet,Raspberry Pi 4,PID Control,Kuala Lumpur,0.48829,0.203998,0.692287,0.0194946,0.06592,PERFECT
Ethernet,Raspberry Pi 4,PID Control,New York,0.523844,0.203998,0.727841,0.0205985,0.02496,PERFECT
