Step,Temp,Setpoint,Power,Mode
1,18.052969,28.0,19823.752,SHIELD_ACTIVE
2,18.876974,28.0,19489.9,SHIELD_ACTIVE
3,19.424044,28.0,19150.605,SHIELD_ACTIVE
4,19.885214,28.0,19121.629,SHIELD_ACTIVE
5,20.301996,28.0,19089.494,SHIELD_ACTIVE
6,20.707413,28.0,19049.97,SHIELD_ACTIVE
7,21.062336,28.0,18205.512,SHIELD_ACTIVE
8,21.390196,28.0,17688.355,SHIELD_ACTIVE
9,21.677294,28.0,16752.586,SHIELD_ACTIVE
10,21.8774,28.0,16175.711,SHIELD_ACTIVE
11,22.092209,28.0,15745.547,SHIELD_ACTIVE
12,22.279194,28.0,15358.436,SHIELD_ACTIVE
13,22.445724,28.0,15054.357,SHIELD_ACTIVE
14,22.592722,28.0,14798.284,SHIELD_ACTIVE
15,22.721102,28.0,14576.831,SHIELD_ACTIVE
16,22.8236,28.0,14476.053,SHIELD_ACTIVE
17,22.902985,28.0,14398.886,SHIELD_ACTIVE
18,22.964327,28.0,14339.878,SHIELD_ACTIVE
19,23.011919,28.0,14294.537,SHIELD_ACTIVE
20,23.071852,28.0,14188.399,SHIELD_ACTIVE
21,23.144608,28.0,14090.118,SHIELD_ACTIVE
22,23.223063,28.0,13997.556,SHIELD_ACTIVE
23,23.248997,23.5,13769.049,LSTM_AI
24,23.250658,23.5,14669.377,LSTM_AI
25,23.25063,23.5,14643.187,LSTM_AI
26,23.250546,23.5,14626.313,LSTM_AI
27,23.250475,23.5,14615.756,LSTM_AI
28,23.250452,23.5,14580.896,LSTM_AI
29,23.250443,23.5,14243.842,LSTM_AI
30,23.250437,23.5,13705.744,LSTM_AI
31,23.250427,23.5,12944.882,LSTM_AI
32,23.277113,23.5,7127.7144,LSTM_AI
33,23.45769,23.5,6434.4053,LSTM_AI
34,23.499752,23.5,5408.467,LSTM_AI
35,23.499577,23.5,4401.0146,LSTM_AI
36,23.499033,23.5,2264.3389,LSTM_AI
37,23.49922,23.5,1668.9722,LSTM_AI
38,23.499208,23.5,1401.623,LSTM_AI
39,23.499212,23.5,1230.9928,LSTM_AI
40,23.499205,23.5,1039.1625,LSTM_AI
41,23.49887,23.5,1015.10333,LSTM_AI
42,23.49884,23.5,1008.6175,LSTM_AI
43,23.499203,23.5,983.7026,LSTM_AI
44,23.498981,23.5,1392.2931,LSTM_AI
45,23.49902,23.5,2590.0938,LSTM_AI
46,23.49912,23.5,2927.4507,LSTM_AI
47,23.499191,23.5,3217.9333,LSTM_AI
48,23.499386,23.5,3754.0508,LSTM_AI
49,23.499445,23.5,4561.3877,LSTM_AI
50,23.499481,23.5,4242.493,LSTM_AI
51,23.499502,23.5,3618.75,LSTM_AI
52,23.499424,23.5,4162.647,LSTM_AI
53,23.499424,23.5,3400.6296,LSTM_AI
54,23.499443,23.5,3741.9065,LSTM_AI
55,23.499477,23.5,4191.333,LSTM_AI
56,23.499456,23.5,4873.1724,LSTM_AI
57,23.49943,23.5,4597.1665,LSTM_AI
58,23.499372,23.5,4880.0454,LSTM_AI
59,23.499308,23.5,4430.8145,LSTM_AI
60,23.499302,23.5,3962.109,LSTM_AI
61,23.499292,23.5,3614.3896,LSTM_AI
62,23.499304,23.5,3627.858,LSTM_AI
63,23.499321,23.5,3645.1738,LSTM_AI
64,23.499443,23.5,3546.2314,LSTM_AI
65,23.499472,23.5,3850.1553,LSTM_AI
66,23.499481,23.5,4506.612,LSTM_AI
67,23.499496,23.5,5273.8184,LSTM_AI
68,23.499504,23.5,5460.7876,LSTM_AI
69,23.499512,23.5,5742.1323,LSTM_AI
70,23.499517,23.5,5966.4263,LSTM_AI
71,23.499523,23.5,6172.753,LSTM_AI
72,23.336378,23.5,6740.426,LSTM_AI
73,23.25543,23.5,7131.329,LSTM_AI
74,23.250362,23.5,7544.336,LSTM_AI
75,23.250048,23.5,7692.062,LSTM_AI
76,23.249977,23.5,9724.819,LSTM_AI
77,23.249933,23.5,10357.466,LSTM_AI
78,23.249884,23.5,10840.216,LSTM_AI
79,23.249836,23.5,11241.661,LSTM_AI
80,23.249762,23.5,12728.13,LSTM_AI
81,23.249777,23.5,13062.548,LSTM_AI
82,23.249807,23.5,13357.586,LSTM_AI
83,23.24984,23.5,13626.084,LSTM_AI
84,23.249844,23.5,14202.606,LSTM_AI
85,23.249815,23.5,14359.414,LSTM_AI
86,23.249779,23.5,14454.19,LSTM_AI
87,23.249771,23.5,14511.257,LSTM_AI
88,23.249783,23.5,14788.871,LSTM_AI
89,23.249798,23.5,15053.807,LSTM_AI
90,23.249802,23.5,15308.953,LSTM_AI
91,23.249788,23.5,15556.795,LSTM_AI
92,23.249771,23.5,15666.417,LSTM_AI
93,23.24976,23.5,15768.586,LSTM_AI
94,23.249756,23.5,15863.673,LSTM_AI
95,23.24976,23.5,15955.137,LSTM_AI
96,23.249767,23.5,16002.874,LSTM_AI
97,23.249775,23.5,16045.71,LSTM_AI
98,23.249784,23.5,16084.815,LSTM_AI
