Step,Temp,Setpoint,Power,Mode
0,18.052969,28.0,19823.752,SHIELD_ACTIVE
1,18.876974,28.0,19489.9,SHIELD_ACTIVE
2,19.424044,28.0,19150.605,SHIELD_ACTIVE
3,19.885214,28.0,19121.629,SHIELD_ACTIVE
4,20.301996,28.0,19089.494,SHIELD_ACTIVE
5,20.707413,28.0,19049.97,SHIELD_ACTIVE
6,21.062336,28.0,18205.512,SHIELD_ACTIVE
7,21.390196,28.0,17688.355,SHIELD_ACTIVE
8,21.677294,28.0,16752.586,SHIELD_ACTIVE
9,21.8774,28.0,16175.711,SHIELD_ACTIVE
10,22.092209,28.0,15745.547,SHIELD_ACTIVE
11,22.279194,28.0,15358.436,SHIELD_ACTIVE
12,22.445724,28.0,15054.357,SHIELD_ACTIVE
13,22.592722,28.0,14798.284,SHIELD_ACTIVE
14,22.721102,28.0,14576.831,SHIELD_ACTIVE
15,22.8236,28.0,14476.053,SHIELD_ACTIVE
16,22.902985,28.0,14398.886,SHIELD_ACTIVE
17,22.964327,28.0,14339.878,SHIELD_ACTIVE
18,23.011919,28.0,14294.537,SHIELD_ACTIVE
19,23.071852,28.0,14188.399,SHIELD_ACTIVE
20,23.144608,28.0,14090.118,SHIELD_ACTIVE
21,23.223063,28.0,13997.556,SHIELD_ACTIVE
22,23.248997,23.736277,13769.049,LSTM_AI
23,23.250658,23.736277,14669.377,LSTM_AI
24,23.25063,23.736277,14643.187,LSTM_AI
25,23.250546,23.736277,14626.313,LSTM_AI
26,23.250475,23.736277,14615.756,LSTM_AI
27,23.250452,23.736277,14580.896,LSTM_AI
28,23.250443,23.736277,14243.842,LSTM_AI
29,23.250437,23.736277,13705.744,LSTM_AI
30,23.250427,23.736277,12944.882,LSTM_AI
31,23.276505,23.736277,6998.504,LSTM_AI
32,23.450907,23.736277,6516.4014,LSTM_AI
33,23.623663,23.736277,5471.1143,LSTM_AI
34,23.719694,23.736277,4478.4,LSTM_AI
35,23.73558,23.736277,2281.9028,LSTM_AI
36,23.735527,23.736277,1652.0762,LSTM_AI
37,23.735163,23.736277,1373.4604,LSTM_AI
38,23.735088,23.736277,1181.4564,LSTM_AI
39,23.734753,23.736277,991.4826,LSTM_AI
