Step,Temp,Setpoint,Power,Mode
0,19.674156,28.0,15605.726,SHIELD_ACTIVE
1,20.386845,28.0,15591.093,SHIELD_ACTIVE
2,20.822845,28.0,15572.253,SHIELD_ACTIVE
3,21.186422,28.0,14580.278,SHIELD_ACTIVE
4,21.496284,28.0,13576.142,SHIELD_ACTIVE
5,21.800959,28.0,12865.031,SHIELD_ACTIVE
6,22.015871,28.0,12387.104,SHIELD_ACTIVE
7,22.24237,28.0,11928.166,SHIELD_ACTIVE
8,22.445822,28.0,11612.923,SHIELD_ACTIVE
9,22.631142,28.0,11365.56,SHIELD_ACTIVE
10,22.82348,28.0,11088.91,SHIELD_ACTIVE
11,22.97186,28.0,11032.725,SHIELD_ACTIVE
12,23.07283,28.0,10991.218,SHIELD_ACTIVE
13,23.142612,28.0,10391.014,SHIELD_ACTIVE
14,23.193117,28.0,10326.099,SHIELD_ACTIVE
15,23.24865,28.0,10191.309,SHIELD_ACTIVE
16,23.249687,23.736277,9915.761,LSTM_AI
17,23.24972,23.736277,9795.84,LSTM_AI
18,23.249748,23.736277,9645.56,LSTM_AI
19,23.249779,23.736277,9581.397,LSTM_AI
20,23.249807,23.736277,9527.477,LSTM_AI
21,23.24983,23.736277,9482.132,LSTM_AI
22,23.249847,23.736277,9442.523,LSTM_AI
23,23.251333,23.736277,10043.398,LSTM_AI
24,23.251263,23.736277,9928.127,LSTM_AI
25,23.251148,23.736277,9833.965,LSTM_AI
26,23.251045,23.736277,9736.66,LSTM_AI
27,23.250944,23.736277,9632.3125,LSTM_AI
28,23.250866,23.736277,10147.048,LSTM_AI
29,23.250805,23.736277,10128.165,LSTM_AI
30,23.250757,23.736277,10091.499,LSTM_AI
31,23.61303,23.736277,4218.689,LSTM_AI
32,23.735851,23.736277,4204.842,LSTM_AI
33,23.7358,23.736277,4230.562,LSTM_AI
34,23.735743,23.736277,4071.396,LSTM_AI
35,23.735556,23.736277,3614.8376,LSTM_AI
36,23.735334,23.736277,3574.0532,LSTM_AI
37,23.735165,23.736277,3454.8887,LSTM_AI
38,23.735216,23.736277,3404.2954,LSTM_AI
39,23.735203,23.736277,3310.5454,LSTM_AI
40,23.735382,23.736277,3284.2065,LSTM_AI
41,23.735403,23.736277,2899.8926,LSTM_AI
42,23.73541,23.736277,2920.967,LSTM_AI
43,23.735516,23.736277,2546.3086,LSTM_AI
