Step,Temp,Setpoint,Power,Mode
1,22.350283,28.0,3714.9707,SHIELD_ACTIVE
2,22.66305,28.0,3712.0742,SHIELD_ACTIVE
3,22.82036,28.0,3616.7573,SHIELD_ACTIVE
4,22.898357,28.0,3486.5984,SHIELD_ACTIVE
5,22.956078,28.0,3358.0283,SHIELD_ACTIVE
6,23.01382,28.0,3262.1365,SHIELD_ACTIVE
7,23.06541,28.0,3207.7144,SHIELD_ACTIVE
8,23.107155,28.0,3175.8691,SHIELD_ACTIVE
9,23.13993,28.0,3156.9412,SHIELD_ACTIVE
10,23.16565,28.0,3146.9014,SHIELD_ACTIVE
11,23.185762,28.0,3143.142,SHIELD_ACTIVE
12,23.201239,28.0,3141.8013,SHIELD_ACTIVE
13,23.212988,23.5,3143.9194,LSTM_AI
14,23.221733,23.5,3148.4258,LSTM_AI
15,23.228033,23.5,3154.7056,LSTM_AI
16,23.232347,23.5,3164.297,LSTM_AI
17,23.235044,23.5,3175.2854,LSTM_AI
18,23.236427,23.5,3187.2068,LSTM_AI
19,23.236742,23.5,3199.8247,LSTM_AI
20,23.236195,23.5,3213.801,LSTM_AI
21,23.234945,23.5,3228.375,LSTM_AI
22,23.233126,23.5,3243.4004,LSTM_AI
23,23.230843,23.5,3258.8196,LSTM_AI
24,23.24795,23.5,3020.559,LSTM_AI
25,23.248539,23.5,3014.1917,LSTM_AI
26,23.248661,23.5,3030.1113,LSTM_AI
27,23.248785,23.5,3031.3167,LSTM_AI
28,23.248867,23.5,3039.2148,LSTM_AI
29,23.248917,23.5,2983.0417,LSTM_AI
30,23.248957,23.5,2692.2622,LSTM_AI
31,23.249,23.5,2414.9658,LSTM_AI
32,23.49969,23.5,1902.3062,LSTM_AI
33,23.501545,23.5,2146.4429,LSTM_AI
34,23.501108,23.5,2363.8665,LSTM_AI
35,23.500542,23.5,2674.8066,LSTM_AI
36,23.498922,23.5,4686.067,LSTM_AI
37,23.497837,23.5,5771.258,LSTM_AI
38,23.49749,23.5,6536.4604,LSTM_AI
39,23.497429,23.5,7016.6772,LSTM_AI
40,23.49741,23.5,7470.934,LSTM_AI
41,23.497635,23.5,7828.499,LSTM_AI
42,23.497883,23.5,8150.4116,LSTM_AI
43,23.498053,23.5,8512.805,LSTM_AI
44,23.498266,23.5,8294.395,LSTM_AI
45,23.49838,23.5,8649.338,LSTM_AI
46,23.498447,23.5,9018.432,LSTM_AI
47,23.49848,23.5,9394.795,LSTM_AI
48,23.498693,23.5,8433.594,LSTM_AI
49,23.498814,23.5,8654.605,LSTM_AI
50,23.498898,23.5,8888.6875,LSTM_AI
51,23.498947,23.5,9123.2705,LSTM_AI
52,23.498808,23.5,10725.819,LSTM_AI
53,23.49864,23.5,11168.9,LSTM_AI
54,23.498472,23.5,11500.781,LSTM_AI
55,23.498339,23.5,11815.082,LSTM_AI
56,23.498192,23.5,11900.527,LSTM_AI
57,23.49808,23.5,11560.511,LSTM_AI
58,23.498007,23.5,11205.414,LSTM_AI
59,23.498226,23.5,10810.008,LSTM_AI
60,23.498474,23.5,10004.955,LSTM_AI
61,23.498415,23.5,9607.587,LSTM_AI
62,23.498392,23.5,9171.341,LSTM_AI
63,23.498444,23.5,8717.143,LSTM_AI
64,23.49893,23.5,7582.008,LSTM_AI
65,23.499222,23.5,6862.861,LSTM_AI
66,23.49927,23.5,6461.6265,LSTM_AI
67,23.49933,23.5,6106.508,LSTM_AI
68,23.499418,23.5,5958.9365,LSTM_AI
69,23.499527,23.5,5796.8374,LSTM_AI
70,23.499592,23.5,5734.726,LSTM_AI
71,23.499739,23.5,5541.7207,LSTM_AI
72,23.49949,23.5,2631.3115,LSTM_AI
73,23.499407,23.5,2381.726,LSTM_AI
74,23.499424,23.5,2242.0757,LSTM_AI
75,23.499424,23.5,2129.203,LSTM_AI
76,23.499388,23.5,1280.2705,LSTM_AI
77,23.499294,23.5,1199.2019,LSTM_AI
78,23.49939,23.5,1082.2677,LSTM_AI
79,23.499466,23.5,991.62054,LSTM_AI
80,23.308407,23.5,697.2876,LSTM_AI
81,23.253014,23.5,1042.1936,LSTM_AI
82,23.250244,23.5,1031.5049,LSTM_AI
83,23.250158,23.5,1208.412,LSTM_AI
84,23.25045,23.5,1730.9827,LSTM_AI
85,23.250513,23.5,1945.2369,LSTM_AI
86,23.25043,23.5,2129.1443,LSTM_AI
87,23.250443,23.5,2265.5005,LSTM_AI
88,23.250452,23.5,2370.133,LSTM_AI
89,23.25046,23.5,2454.6885,LSTM_AI
90,23.250462,23.5,2524.8218,LSTM_AI
91,23.250462,23.5,2590.9006,LSTM_AI
92,23.25046,23.5,2656.3677,LSTM_AI
93,23.250456,23.5,2708.3345,LSTM_AI
94,23.250452,23.5,2755.0215,LSTM_AI
95,23.250448,23.5,2797.7014,LSTM_AI
96,23.250444,23.5,2837.3855,LSTM_AI
97,23.250443,23.5,2874.6458,LSTM_AI
98,23.250439,23.5,2909.93,LSTM_AI
99,23.250437,23.5,2942.1738,LSTM_AI
100,23.250435,23.5,2976.833,LSTM_AI
101,23.250433,23.5,3010.9338,LSTM_AI
102,23.250431,23.5,3044.2844,LSTM_AI
103,23.25043,23.5,3076.919,LSTM_AI
104,23.250427,23.5,3099.22,LSTM_AI
105,23.250423,23.5,3119.2683,LSTM_AI
106,23.25042,23.5,3137.6655,LSTM_AI
107,23.250414,23.5,3154.6472,LSTM_AI
108,23.250406,23.5,3176.5579,LSTM_AI
109,23.2504,23.5,3198.3293,LSTM_AI
110,23.250393,23.5,3219.6038,LSTM_AI
111,23.250385,23.5,3240.36,LSTM_AI
