Step,Temp,Setpoint,Power,Mode
0,20.840563,28.0,7358.6255,SHIELD_ACTIVE
1,21.104471,28.0,7358.6255,SHIELD_ACTIVE
2,21.268835,28.0,7358.6255,SHIELD_ACTIVE
3,21.35949,28.0,7358.6255,SHIELD_ACTIVE
4,21.46483,28.0,7358.6255,SHIELD_ACTIVE
5,21.561363,28.0,7358.6255,SHIELD_ACTIVE
6,21.650604,28.0,7358.6255,SHIELD_ACTIVE
7,21.73134,28.0,7358.6255,SHIELD_ACTIVE
8,21.802961,28.0,7358.6255,SHIELD_ACTIVE
9,21.866352,28.0,7358.6255,SHIELD_ACTIVE
10,21.922287,28.0,7358.6255,SHIELD_ACTIVE
11,21.971321,28.0,7358.6255,SHIELD_ACTIVE
12,22.01398,28.0,7358.6255,SHIELD_ACTIVE
13,22.050821,28.0,7358.6255,SHIELD_ACTIVE
14,22.082066,28.0,7358.6255,SHIELD_ACTIVE
15,22.108591,28.0,7358.6255,SHIELD_ACTIVE
16,22.131031,28.0,7358.6255,SHIELD_ACTIVE
17,22.14981,28.0,7358.6255,SHIELD_ACTIVE
18,22.165007,28.0,7358.6255,SHIELD_ACTIVE
19,22.177305,28.0,7358.6255,SHIELD_ACTIVE
20,22.187155,28.0,7358.6255,SHIELD_ACTIVE
21,22.194853,28.0,7358.6255,SHIELD_ACTIVE
22,22.200438,28.0,7358.6255,SHIELD_ACTIVE
23,22.20416,28.0,7629.8164,SHIELD_ACTIVE
24,22.206335,28.0,7620.354,SHIELD_ACTIVE
25,22.20846,28.0,7449.3716,SHIELD_ACTIVE
26,22.214003,28.0,6894.0073,SHIELD_ACTIVE
27,22.234346,28.0,6684.101,SHIELD_ACTIVE
28,22.26624,28.0,6641.564,SHIELD_ACTIVE
29,22.312845,28.0,6357.031,SHIELD_ACTIVE
30,22.374107,28.0,5925.94,SHIELD_ACTIVE
31,23.59231,28.0,887.70685,SHIELD_ACTIVE
32,23.736183,23.736277,776.2601,LSTM_AI
33,23.735989,23.736277,255.8981,LSTM_AI
34,23.735464,23.736277,124.4339,LSTM_AI
35,23.735207,23.736277,198.32298,LSTM_AI
36,23.735212,23.736277,220.39868,LSTM_AI
37,23.735088,23.736277,258.4485,LSTM_AI
38,23.73498,23.736277,289.66815,LSTM_AI
39,23.734947,23.736277,319.15735,LSTM_AI
40,23.734406,23.736277,431.74045,LSTM_AI
41,23.734377,23.736277,590.80054,LSTM_AI
42,23.735016,23.736277,751.2321,LSTM_AI
43,23.735163,23.736277,749.2037,LSTM_AI
44,23.735239,23.736277,797.1889,LSTM_AI
45,23.735289,23.736277,834.1416,LSTM_AI
46,23.73532,23.736277,844.8139,LSTM_AI
47,23.735268,23.736277,436.2697,LSTM_AI
48,23.735487,23.736277,525.58936,LSTM_AI
49,23.735718,23.736277,688.4031,LSTM_AI
50,23.735876,23.736277,912.3091,LSTM_AI
