Step,Temp,Setpoint,Power,Mode
1,19.621983,28.0,14184.3955,SHIELD_ACTIVE
2,20.133982,28.0,14033.1875,SHIELD_ACTIVE
3,20.450855,28.0,13879.25,SHIELD_ACTIVE
4,20.71479,28.0,13909.267,SHIELD_ACTIVE
5,20.944275,28.0,13939.961,SHIELD_ACTIVE
6,21.180098,28.0,13964.096,SHIELD_ACTIVE
7,21.395346,28.0,13309.344,SHIELD_ACTIVE
8,21.546425,28.0,12947.965,SHIELD_ACTIVE
9,21.711195,28.0,12465.827,SHIELD_ACTIVE
10,21.85125,28.0,12285.54,SHIELD_ACTIVE
11,21.970322,28.0,12124.8,SHIELD_ACTIVE
12,22.083727,28.0,11960.032,SHIELD_ACTIVE
13,22.192528,28.0,11833.926,SHIELD_ACTIVE
14,22.290697,28.0,11727.764,SHIELD_ACTIVE
15,22.382093,28.0,11652.765,SHIELD_ACTIVE
16,22.46047,28.0,11628.69,SHIELD_ACTIVE
17,22.526127,28.0,11616.513,SHIELD_ACTIVE
18,22.581516,28.0,11613.842,SHIELD_ACTIVE
19,22.624912,28.0,11639.833,SHIELD_ACTIVE
20,22.661251,28.0,11655.352,SHIELD_ACTIVE
21,22.692907,28.0,11675.542,SHIELD_ACTIVE
22,22.720472,28.0,11699.41,SHIELD_ACTIVE
23,22.74386,28.0,11726.872,SHIELD_ACTIVE
24,22.816431,28.0,12939.114,SHIELD_ACTIVE
25,22.88041,28.0,12994.316,SHIELD_ACTIVE
26,22.921944,28.0,13071.32,SHIELD_ACTIVE
27,22.950438,28.0,12920.468,SHIELD_ACTIVE
28,22.974398,28.0,12694.782,SHIELD_ACTIVE
29,22.996977,28.0,12476.591,SHIELD_ACTIVE
30,23.019547,28.0,12078.306,SHIELD_ACTIVE
31,23.043438,28.0,11638.354,SHIELD_ACTIVE
32,23.460579,28.0,4945.347,SHIELD_ACTIVE
33,23.4994,23.5,4826.34,LSTM_AI
34,23.499578,23.5,4281.0044,LSTM_AI
35,23.499577,23.5,3591.1484,LSTM_AI
36,23.499325,23.5,3128.2375,LSTM_AI
37,23.499378,23.5,2205.2354,LSTM_AI
38,23.499397,23.5,1885.6111,LSTM_AI
39,23.499384,23.5,1971.7179,LSTM_AI
40,23.499367,23.5,1867.314,LSTM_AI
41,23.499352,23.5,1774.5015,LSTM_AI
42,23.499062,23.5,1549.808,LSTM_AI
43,23.498981,23.5,1087.5151,LSTM_AI
44,23.49903,23.5,1593.5964,LSTM_AI
45,23.49906,23.5,1457.8649,LSTM_AI
46,23.49908,23.5,1222.8741,LSTM_AI
47,23.499083,23.5,961.1582,LSTM_AI
48,23.499231,23.5,522.4031,LSTM_AI
49,23.499315,23.5,533.6162,LSTM_AI
50,23.499355,23.5,516.2424,LSTM_AI
51,23.499369,23.5,518.6917,LSTM_AI
52,23.49928,23.5,792.5361,LSTM_AI
53,23.499216,23.5,769.43036,LSTM_AI
54,23.499199,23.5,765.3877,LSTM_AI
55,23.49922,23.5,753.29285,LSTM_AI
56,23.503181,23.5,799.61346,LSTM_AI
57,23.49999,23.5,763.09485,LSTM_AI
58,23.499372,23.5,726.1955,LSTM_AI
59,23.499275,23.5,681.28723,LSTM_AI
60,23.499325,23.5,560.49976,LSTM_AI
61,23.499348,23.5,503.72128,LSTM_AI
62,23.499361,23.5,474.10596,LSTM_AI
63,23.499384,23.5,435.8995,LSTM_AI
64,23.499447,23.5,282.3715,LSTM_AI
65,23.499443,23.5,249.4031,LSTM_AI
66,23.499422,23.5,317.71362,LSTM_AI
67,23.49941,23.5,427.79102,LSTM_AI
68,23.499405,23.5,544.15,LSTM_AI
69,23.499397,23.5,652.9841,LSTM_AI
70,23.499386,23.5,759.40796,LSTM_AI
71,23.499372,23.5,870.33716,LSTM_AI
72,23.499966,23.5,2017.5219,LSTM_AI
73,23.50003,23.5,3096.4167,LSTM_AI
74,23.500021,23.5,3067.6472,LSTM_AI
75,23.499977,23.5,3307.175,LSTM_AI
76,23.323732,23.5,4370.566,LSTM_AI
77,23.252716,23.5,5009.905,LSTM_AI
78,23.25013,23.5,5587.238,LSTM_AI
79,23.250029,23.5,5874.498,LSTM_AI
80,23.250101,23.5,7342.436,LSTM_AI
81,23.250132,23.5,7631.573,LSTM_AI
82,23.250162,23.5,7874.9004,LSTM_AI
83,23.250187,23.5,8086.671,LSTM_AI
84,23.250252,23.5,8803.304,LSTM_AI
85,23.25025,23.5,9111.588,LSTM_AI
86,23.250229,23.5,9371.207,LSTM_AI
87,23.250214,23.5,9600.816,LSTM_AI
88,23.250204,23.5,9840.272,LSTM_AI
89,23.250204,23.5,10067.434,LSTM_AI
90,23.250208,23.5,10285.353,LSTM_AI
91,23.250212,23.5,10496.726,LSTM_AI
92,23.250216,23.5,10584.488,LSTM_AI
93,23.250216,23.5,10663.457,LSTM_AI
94,23.250216,23.5,10733.497,LSTM_AI
95,23.250212,23.5,10799.26,LSTM_AI
96,23.25021,23.5,10953.996,LSTM_AI
97,23.250206,23.5,11108.913,LSTM_AI
98,23.2502,23.5,11262.973,LSTM_AI
99,23.250195,23.5,11416.34,LSTM_AI
100,23.250187,23.5,11495.328,LSTM_AI
101,23.24566,23.5,11558.275,LSTM_AI
102,23.232733,23.5,11607.548,LSTM_AI
103,23.213627,23.5,11654.121,LSTM_AI
104,23.199682,23.5,11655.116,LSTM_AI
105,23.191914,28.0,11650.581,SHIELD_ACTIVE
106,23.187878,28.0,11643.433,SHIELD_ACTIVE
107,23.186056,28.0,11633.602,SHIELD_ACTIVE
108,23.174662,28.0,11683.583,SHIELD_ACTIVE
109,23.154224,28.0,11734.401,SHIELD_ACTIVE
110,23.12877,28.0,11784.701,SHIELD_ACTIVE
111,23.100748,28.0,11834.57,SHIELD_ACTIVE
112,23.082376,28.0,11824.014,SHIELD_ACTIVE
113,23.073416,28.0,11809.014,SHIELD_ACTIVE
114,23.07008,28.0,11792.398,SHIELD_ACTIVE
115,23.070415,28.0,11773.067,SHIELD_ACTIVE
116,23.064837,28.0,11834.248,SHIELD_ACTIVE
117,23.053345,28.0,11899.4375,SHIELD_ACTIVE
118,23.038704,28.0,11964.48,SHIELD_ACTIVE
119,23.022537,28.0,12031.4795,SHIELD_ACTIVE
120,23.065636,28.0,13219.653,SHIELD_ACTIVE
121,23.106625,28.0,13262.217,SHIELD_ACTIVE
122,23.129448,28.0,13317.8955,SHIELD_ACTIVE
123,23.142187,28.0,13284.121,SHIELD_ACTIVE
124,23.14656,28.0,13088.027,SHIELD_ACTIVE
125,23.145632,28.0,12877.737,SHIELD_ACTIVE
126,23.142197,28.0,12549.478,SHIELD_ACTIVE
127,23.138868,28.0,12183.422,SHIELD_ACTIVE
128,23.518608,28.0,5782.5396,SHIELD_ACTIVE
129,23.499592,23.5,5283.1353,LSTM_AI
130,23.499546,23.5,4421.4863,LSTM_AI
131,23.499477,23.5,4094.9556,LSTM_AI
132,23.499418,23.5,2469.397,LSTM_AI
133,23.49942,23.5,430.45285,LSTM_AI
134,23.499016,23.5,442.61136,LSTM_AI
135,23.498838,23.5,657.56055,LSTM_AI
136,23.499144,23.5,817.70514,LSTM_AI
137,23.498613,23.5,236.49469,LSTM_AI
138,23.498615,23.5,272.5914,LSTM_AI
139,23.498575,23.5,306.90668,LSTM_AI
140,23.498102,23.5,298.27686,LSTM_AI
141,23.498074,23.5,325.55814,LSTM_AI
142,23.49812,23.5,353.65054,LSTM_AI
143,23.498747,23.5,375.21024,LSTM_AI
144,23.498793,23.5,428.73706,LSTM_AI
145,23.498932,23.5,511.3363,LSTM_AI
146,23.498999,23.5,466.7413,LSTM_AI
147,23.499056,23.5,435.77594,LSTM_AI
148,23.498905,23.5,478.1943,LSTM_AI
149,23.498867,23.5,458.2378,LSTM_AI
150,23.498867,23.5,468.64832,LSTM_AI
151,23.498901,23.5,489.28308,LSTM_AI
152,23.498953,23.5,554.8229,LSTM_AI
153,23.49901,23.5,610.1444,LSTM_AI
154,23.499075,23.5,668.8829,LSTM_AI
155,23.499187,23.5,790.5328,LSTM_AI
156,23.502691,23.5,833.8735,LSTM_AI
157,23.500046,23.5,663.9255,LSTM_AI
158,23.499556,23.5,593.5356,LSTM_AI
159,23.499474,23.5,529.1094,LSTM_AI
160,23.49951,23.5,345.37274,LSTM_AI
161,23.499502,23.5,302.96216,LSTM_AI
162,23.499475,23.5,453.31418,LSTM_AI
163,23.499464,23.5,594.47284,LSTM_AI
164,23.499468,23.5,722.934,LSTM_AI
165,23.499466,23.5,846.7732,LSTM_AI
166,23.499454,23.5,1064.2386,LSTM_AI
167,23.499441,23.5,1276.3765,LSTM_AI
168,23.49997,23.5,2130.679,LSTM_AI
169,23.500008,23.5,3402.1438,LSTM_AI
170,23.499958,23.5,3520.1584,LSTM_AI
171,23.499918,23.5,3926.063,LSTM_AI
172,23.363876,23.5,4958.6924,LSTM_AI
173,23.254171,23.5,5402.882,LSTM_AI
174,23.250193,23.5,6015.6104,LSTM_AI
175,23.250038,23.5,6210.4766,LSTM_AI
176,23.250124,23.5,7644.79,LSTM_AI
177,23.250153,23.5,7892.128,LSTM_AI
178,23.250181,23.5,8089.163,LSTM_AI
179,23.250204,23.5,8251.045,LSTM_AI
180,23.250265,23.5,8924.232,LSTM_AI
181,23.250257,23.5,9187.194,LSTM_AI
182,23.250235,23.5,9399.996,LSTM_AI
183,23.250217,23.5,9581.398,LSTM_AI
184,23.250216,23.5,9713.701,LSTM_AI
185,23.250217,23.5,9829.126,LSTM_AI
186,23.250221,23.5,9932.022,LSTM_AI
187,23.250223,23.5,10025.195,LSTM_AI
188,23.250221,23.5,10127.666,LSTM_AI
189,23.250217,23.5,10225.88,LSTM_AI
190,23.250212,23.5,10319.1,LSTM_AI
191,23.250206,23.5,10407.947,LSTM_AI
192,23.250198,23.5,10548.214,LSTM_AI
193,23.250193,23.5,10688.827,LSTM_AI
194,23.24723,23.5,10821.761,LSTM_AI
195,23.235907,23.5,10940.397,LSTM_AI
196,23.22397,23.5,10884.108,LSTM_AI
197,23.21412,23.5,10820.333,LSTM_AI
198,23.205912,23.5,10752.298,LSTM_AI
199,23.198736,23.5,10680.239,LSTM_AI
200,23.189285,28.0,10765.395,SHIELD_ACTIVE
201,23.177671,28.0,10854.677,SHIELD_ACTIVE
202,23.16495,28.0,10945.509,SHIELD_ACTIVE
203,23.151756,28.0,11037.95,SHIELD_ACTIVE
204,23.143879,28.0,11030.614,SHIELD_ACTIVE
205,23.14117,28.0,11018.247,SHIELD_ACTIVE
206,23.142052,28.0,11003.713,SHIELD_ACTIVE
207,23.145102,28.0,10988.033,SHIELD_ACTIVE
208,23.14194,28.0,11012.8,SHIELD_ACTIVE
209,23.132868,28.0,11038.359,SHIELD_ACTIVE
210,23.120617,28.0,11064.056,SHIELD_ACTIVE
211,23.106792,28.0,11089.1,SHIELD_ACTIVE
212,23.09357,28.0,11323.876,SHIELD_ACTIVE
213,23.081043,28.0,11565.781,SHIELD_ACTIVE
214,23.068521,28.0,11813.675,SHIELD_ACTIVE
215,23.05554,28.0,12067.374,SHIELD_ACTIVE
216,23.100647,28.0,13227.254,SHIELD_ACTIVE
217,23.142033,28.0,13243.321,SHIELD_ACTIVE
218,23.164183,28.0,13269.875,SHIELD_ACTIVE
219,23.175749,28.0,13063.834,SHIELD_ACTIVE
220,23.176966,28.0,12810.736,SHIELD_ACTIVE
221,23.171534,28.0,12558.037,SHIELD_ACTIVE
222,23.16351,28.0,11989.283,SHIELD_ACTIVE
223,23.15728,28.0,11305.667,SHIELD_ACTIVE
224,23.606806,28.0,4927.17,SHIELD_ACTIVE
225,23.499702,23.5,5079.82,LSTM_AI
226,23.499609,23.5,3559.4453,LSTM_AI
227,23.499361,23.5,1938.6058,LSTM_AI
228,23.498775,23.5,691.7459,LSTM_AI
229,23.498917,23.5,663.6185,LSTM_AI
230,23.499123,23.5,633.6189,LSTM_AI
231,23.499151,23.5,774.31824,LSTM_AI
232,23.499147,23.5,918.81915,LSTM_AI
233,23.498585,23.5,265.8453,LSTM_AI
234,23.49858,23.5,300.64227,LSTM_AI
235,23.498533,23.5,336.67007,LSTM_AI
236,23.498022,23.5,329.20663,LSTM_AI
237,23.497982,23.5,359.8002,LSTM_AI
238,23.498665,23.5,389.01624,LSTM_AI
239,23.498713,23.5,419.89258,LSTM_AI
240,23.499062,23.5,373.5665,LSTM_AI
241,23.498798,23.5,421.1324,LSTM_AI
242,23.498804,23.5,381.09592,LSTM_AI
243,23.49888,23.5,352.38992,LSTM_AI
244,23.498833,23.5,423.11743,LSTM_AI
245,23.498852,23.5,422.32062,LSTM_AI
246,23.49884,23.5,419.85568,LSTM_AI
247,23.498838,23.5,421.70932,LSTM_AI
248,23.498762,23.5,448.18796,LSTM_AI
249,23.49868,23.5,453.80627,LSTM_AI
250,23.498604,23.5,449.76825,LSTM_AI
251,23.498983,23.5,443.82254,LSTM_AI
252,23.498804,23.5,502.77246,LSTM_AI
253,23.498917,23.5,602.22107,LSTM_AI
254,23.499035,23.5,671.3087,LSTM_AI
255,23.49916,23.5,759.10706,LSTM_AI
256,23.499308,23.5,652.2971,LSTM_AI
257,23.49934,23.5,497.6612,LSTM_AI
258,23.499353,23.5,424.87964,LSTM_AI
259,23.499369,23.5,368.47906,LSTM_AI
260,23.499395,23.5,344.88608,LSTM_AI
261,23.4994,23.5,275.81308,LSTM_AI
262,23.499395,23.5,398.76157,LSTM_AI
263,23.499393,23.5,466.7702,LSTM_AI
264,23.500002,23.5,1651.6324,LSTM_AI
265,23.500015,23.5,2718.1633,LSTM_AI
266,23.499937,23.5,2769.4246,LSTM_AI
267,23.499893,23.5,3068.242,LSTM_AI
268,23.349226,23.5,4261.4316,LSTM_AI
269,23.253618,23.5,4942.353,LSTM_AI
270,23.250174,23.5,5755.317,LSTM_AI
271,23.250042,23.5,6202.002,LSTM_AI
272,23.25013,23.5,7538.011,LSTM_AI
273,23.25015,23.5,7680.0776,LSTM_AI
274,23.250174,23.5,7766.277,LSTM_AI
275,23.250193,23.5,7812.4707,LSTM_AI
276,23.250265,23.5,8681.841,LSTM_AI
277,23.250263,23.5,9158.848,LSTM_AI
278,23.250235,23.5,9588.523,LSTM_AI
279,23.250208,23.5,9984.544,LSTM_AI
280,23.25018,23.5,9920.733,LSTM_AI
281,23.250168,23.5,9831.227,LSTM_AI
282,23.250168,23.5,9724.086,LSTM_AI
283,23.250174,23.5,9602.548,LSTM_AI
284,23.250189,23.5,9757.556,LSTM_AI
285,23.250196,23.5,9910.469,LSTM_AI
286,23.250195,23.5,10056.02,LSTM_AI
287,23.250187,23.5,10199.0205,LSTM_AI
288,23.250172,23.5,10360.404,LSTM_AI
289,23.25016,23.5,10520.948,LSTM_AI
290,23.250153,23.5,10681.589,LSTM_AI
291,23.250149,23.5,10842.17,LSTM_AI
292,23.250147,23.5,10812.395,LSTM_AI
293,23.250145,23.5,10774.384,LSTM_AI
294,23.250145,23.5,10731.265,LSTM_AI
295,23.250147,23.5,10683.326,LSTM_AI
296,23.25015,23.5,10787.706,LSTM_AI
297,23.250153,23.5,10895.151,LSTM_AI
298,23.25015,23.5,11003.226,LSTM_AI
299,23.250149,23.5,11111.789,LSTM_AI
300,23.24648,23.5,11183.987,LSTM_AI
301,23.233536,23.5,11239.366,LSTM_AI
302,23.213184,23.5,11293.695,LSTM_AI
303,23.188564,23.5,11347.104,LSTM_AI
304,23.16688,28.0,11370.187,SHIELD_ACTIVE
305,23.148558,28.0,11391.543,SHIELD_ACTIVE
306,23.13204,28.0,11411.526,SHIELD_ACTIVE
307,23.116446,28.0,11430.184,SHIELD_ACTIVE
308,23.10699,28.0,11418.623,SHIELD_ACTIVE
309,23.103352,28.0,11404.139,SHIELD_ACTIVE
310,23.10383,28.0,11386.747,SHIELD_ACTIVE
311,23.106892,28.0,11367.908,SHIELD_ACTIVE
312,23.153358,28.0,12432.242,SHIELD_ACTIVE
313,23.181988,28.0,12490.881,SHIELD_ACTIVE
314,23.183025,28.0,12558.968,SHIELD_ACTIVE
315,23.168669,28.0,12424.922,SHIELD_ACTIVE
316,23.165442,28.0,12280.052,SHIELD_ACTIVE
317,23.176006,28.0,12098.766,SHIELD_ACTIVE
318,23.195992,28.0,11626.731,SHIELD_ACTIVE
319,23.224321,28.0,11043.258,SHIELD_ACTIVE
320,23.49731,23.5,5853.7734,LSTM_AI
321,23.499641,23.5,5045.974,LSTM_AI
322,23.499516,23.5,3294.1353,LSTM_AI
323,23.499367,23.5,1714.5383,LSTM_AI
324,23.49879,23.5,591.0383,LSTM_AI
325,23.498976,23.5,619.0729,LSTM_AI
326,23.499163,23.5,669.8738,LSTM_AI
327,23.499178,23.5,808.9408,LSTM_AI
328,23.49914,23.5,935.60565,LSTM_AI
329,23.499092,23.5,1066.5225,LSTM_AI
330,23.499037,23.5,1200.16,LSTM_AI
331,23.497608,23.5,340.37772,LSTM_AI
332,23.497726,23.5,330.51724,LSTM_AI
333,23.497877,23.5,362.316,LSTM_AI
334,23.497967,23.5,392.01715,LSTM_AI
335,23.498652,23.5,422.3419,LSTM_AI
336,23.499037,23.5,391.88147,LSTM_AI
337,23.498762,23.5,435.08856,LSTM_AI
338,23.49879,23.5,406.13483,LSTM_AI
339,23.498901,23.5,387.99677,LSTM_AI
340,23.498838,23.5,443.59302,LSTM_AI
341,23.498857,23.5,444.49475,LSTM_AI
342,23.498848,23.5,439.30356,LSTM_AI
343,23.498844,23.5,433.74362,LSTM_AI
344,23.498821,23.5,452.7827,LSTM_AI
345,23.498789,23.5,449.5792,LSTM_AI
346,23.49875,23.5,440.93155,LSTM_AI
347,23.498772,23.5,463.44238,LSTM_AI
348,23.498886,23.5,511.9636,LSTM_AI
349,23.499,23.5,611.43176,LSTM_AI
350,23.49912,23.5,687.6449,LSTM_AI
351,23.499247,23.5,784.589,LSTM_AI
352,23.499405,23.5,541.87756,LSTM_AI
353,23.499453,23.5,416.7561,LSTM_AI
354,23.499468,23.5,360.03223,LSTM_AI
355,23.499487,23.5,324.4057,LSTM_AI
356,23.499496,23.5,286.72934,LSTM_AI
357,23.499489,23.5,501.5408,LSTM_AI
358,23.499477,23.5,654.00244,LSTM_AI
359,23.499464,23.5,800.4483,LSTM_AI
360,23.499968,23.5,1787.055,LSTM_AI
361,23.499975,23.5,3068.5137,LSTM_AI
362,23.49993,23.5,3276.3013,LSTM_AI
363,23.499865,23.5,3757.99,LSTM_AI
