Step,Temp,Setpoint,Power
1,22.350283,28.0,3714.9707
2,22.66305,28.0,3712.0742
3,22.82036,28.0,3616.7573
4,22.898357,28.0,3486.5984
5,22.956078,28.0,3358.0283
6,23.01382,28.0,3262.1365
7,23.06541,27.943487,3207.7144
8,23.107155,27.843384,3175.8691
9,23.13993,27.764818,3156.9412
10,23.16565,27.70375,3146.9014
11,23.185762,27.655842,3143.142
12,23.201239,27.61842,3141.8013
13,23.212988,27.589785,3143.9194
14,23.221733,27.56815,3148.4258
15,23.228033,27.552162,3154.7056
16,23.232347,27.540783,3164.297
17,23.235044,27.533148,3175.2854
18,23.236427,27.528563,3187.2068
19,23.236742,27.526455,3199.8247
20,23.236195,27.52636,3213.801
21,23.234945,27.527885,3228.375
22,23.233126,27.530735,3243.4004
23,23.230843,27.534658,3258.8196
24,23.24795,27.539455,3020.559
25,23.248539,27.495548,3014.1917
26,23.248661,27.502628,3030.1113
27,23.248785,27.502617,3031.3167
28,23.248867,27.502369,3039.2148
29,23.248917,27.502224,2983.0417
30,23.248957,27.502142,2692.2622
31,23.249,27.502068,2414.9658
32,24.352596,27.501976,453.98785
33,24.742992,24.74301,1022.82855
34,24.297485,24.294518,1712.8019
35,25.581347,25.623735,699.56335
36,23.499203,23.5,7431.558
37,25.738634,28.0,542.7387
38,23.499315,23.5,8862.902
39,25.90202,28.0,632.2742
40,23.499136,23.5,11794.497
41,26.0921,28.0,783.2903
42,23.49953,23.5,11642.689
43,26.2431,28.0,952.02234
44,23.583006,23.5,13021.633
45,26.21943,27.946247,1136.5438
46,23.815811,23.5,13180.049
47,26.377687,27.248877,1908.2515
48,23.767813,23.5,13260.347
49,26.064169,27.33345,1712.6412
50,23.499043,23.5,12970.801
51,25.967957,27.792295,1321.3964
52,23.503447,23.5,13117.99
53,26.391054,27.686039,1902.42
54,24.336498,23.5,13523.063
55,25.640284,25.642204,7661.232
56,23.532234,23.5,13482.941
57,26.623672,27.260227,2303.4683
58,23.61626,23.5,13402.051
59,26.700777,27.417862,2098.0332
60,23.518858,23.5,13258.286
61,26.579332,27.651358,1625.177
62,23.506886,23.5,12973.229
63,26.551338,27.621763,1433.3307
64,23.498856,23.5,12482.588
65,26.30877,27.628645,822.6708
66,23.498558,23.5,10617.723
67,26.198418,27.508133,682.3799
68,23.499092,23.5,9058.648
69,26.100607,27.451569,609.7571
70,23.499157,23.5,8098.303
71,25.988674,27.402496,599.64
72,23.499922,23.5,3456.0742
73,24.447815,27.34454,1006.1334
74,23.73921,23.73565,1664.4132
75,24.505272,26.057188,1001.53687
76,23.784353,23.787203,1770.3394
77,23.758017,26.044096,736.5662
78,23.964283,25.823677,753.5732
79,24.012756,25.348413,757.9008
80,23.7935,25.379087,756.1319
81,23.515293,26.022114,749.31793
82,23.315683,26.706476,737.9673
83,23.25309,27.184828,864.23016
84,23.250305,27.366198,1023.43677
85,23.250265,27.466831,1127.764
86,23.250334,27.499489,1574.7283
87,23.25038,27.499298,1782.5331
88,23.250412,27.499218,1967.2745
89,23.250437,27.49916,2126.469
90,23.25036,27.499115,2253.9514
91,23.25037,27.499317,2357.3198
92,23.250378,27.499256,2441.5864
93,23.250383,27.49924,2512.8228
94,23.250385,27.49923,2574.4907
95,23.25039,27.49923,2640.887
96,23.25039,27.49922,2699.8823
97,23.250391,27.499222,2751.298
98,23.250391,27.499218,2798.592
99,23.250391,27.499218,2842.5662
100,23.250393,27.499218,2886.52
101,23.250393,27.499214,2928.6985
102,23.250393,27.499214,2969.1833
103,23.250393,27.499214,3008.1758
104,23.250393,27.499214,3034.6765
105,23.250391,27.499214,3059.5457
106,23.250387,27.499218,3082.4243
107,23.250383,27.499228,3103.534
108,23.250378,27.499235,3129.2542
109,23.250372,27.499249,3154.5261
110,23.250366,27.49926,3179.0234
111,23.250359,27.499271,3202.7485
112,23.25035,27.499287,3221.4014
113,23.250343,27.499302,3239.2393
114,23.250338,27.499317,3256.2212
115,23.24922,27.499329,3269.4866
116,23.246483,27.50212,3280.4397
117,23.242666,27.508404,3290.983
118,23.238316,27.516575,3301.1882
119,23.233917,27.525543,3310.3965
120,23.248125,27.534365,3068.6602
121,23.248615,27.496647,3073.6477
122,23.248724,27.502525,3094.975
123,23.248835,27.502499,3103.5125
124,23.248905,27.502275,3113.7747
125,23.248951,27.502155,3070.4116
126,23.248983,27.502075,2789.1523
127,23.249022,27.502018,2506.0984
128,24.347313,27.501938,447.52435
129,24.756216,24.75623,973.4095
130,24.260668,24.257494,1716.2555
131,25.564749,25.72475,745.4982
132,23.499327,23.5,7078.9507
133,25.747068,28.0,664.0101
134,23.499159,23.5,9151.12
135,25.924847,28.0,968.89655
136,23.499063,23.5,10311.9375
137,26.049038,28.0,1293.477
138,23.5003,23.5,11399.358
139,26.204185,28.0,1476.4312
140,23.547476,23.5,12920.237
141,26.173391,28.0,1516.7572
142,23.749228,23.5,13060.175
143,26.289858,27.416155,2022.762
144,23.499071,23.5,12230.129
145,25.985561,28.0,1302.7913
146,23.499111,23.5,12426.801
147,25.979292,27.820171,1393.6405
148,23.501753,23.5,12896.569
149,26.397509,27.762327,1785.1802
150,23.500778,23.5,13028.914
151,26.483398,27.884045,1812.0314
152,23.508118,23.5,13141.673
153,26.678553,27.809488,2009.7758
154,23.52666,23.5,13256.177
155,26.756613,27.740187,2028.8729
156,23.516197,23.5,13135.356
157,26.674492,27.686193,1874.1306
158,23.510706,23.5,12988.982
159,26.657074,27.65941,1639.5647
160,23.499153,23.5,12817.205
161,26.340555,27.680738,1029.3623
162,23.49864,23.5,11004.371
163,26.316923,27.523813,722.9578
164,23.49888,23.5,10356.849
165,26.19978,27.511372,648.2647
166,23.499113,23.5,9236.737
167,26.072233,27.452196,635.8024
168,23.499916,23.5,3651.9229
169,24.505524,27.386335,1038.2848
170,23.585934,23.585606,3533.351
171,24.500797,26.47879,1023.4736
172,23.72596,23.731756,1812.2013
173,23.68961,26.203686,755.40784
174,23.963495,25.988182,776.1238
175,24.03819,25.338943,778.90717
176,23.840836,25.335327,775.7879
177,23.571978,25.93198,767.8947
178,23.37802,26.59825,755.896
179,23.255983,27.060915,751.27344
180,23.250427,27.393427,1024.5453
181,23.250216,27.471256,1050.1259
182,23.250303,27.499676,1288.4912
183,23.250362,27.49935,1651.4403
184,23.250408,27.499245,1828.5613
185,23.250443,27.49916,2017.7919
186,23.250467,27.499098,2163.7192
187,23.250486,27.499054,2280.945
188,23.250404,27.499018,2392.2554
189,23.250412,27.499233,2475.483
190,23.25042,27.499172,2546.5825
191,23.250425,27.499157,2608.8105
192,23.250427,27.499146,2678.619
193,23.250427,27.499146,2739.685
194,23.250425,27.499146,2792.2092
195,23.250423,27.49915,2840.2795
196,23.25042,27.499153,2883.8435
197,23.250416,27.499163,2924.1404
198,23.250412,27.49917,2961.7078
199,23.250406,27.499178,2996.9304
200,23.2504,27.499191,3026.888
201,23.250397,27.499203,3054.93
202,23.250391,27.499208,3080.2476
203,23.250387,27.499222,3104.905
204,23.250383,27.499228,3126.8293
205,23.25038,27.499235,3147.1455
206,23.250376,27.499243,3166.158
207,23.250372,27.49925,3184.0107
208,23.250368,27.499258,3203.1682
209,23.250364,27.499266,3221.9316
210,23.25036,27.499273,3239.6836
211,23.250036,27.49928,3256.7292
212,23.247967,27.50009,3266.9744
213,23.244455,27.5051,3276.5967
214,23.240192,27.512844,3285.7458
215,23.235582,27.521748,3294.4678
216,23.248201,27.53114,3044.8516
217,23.248638,27.497288,3049.8445
218,23.248743,27.502506,3066.1526
219,23.248846,27.50246,3070.6265
220,23.248924,27.502256,3076.688
221,23.248974,27.502113,3031.5269
222,23.249012,27.502028,2828.0989
223,23.24905,27.501957,2595.3635
224,24.316761,27.50188,450.83847
225,24.832573,24.832623,773.4146
226,24.052006,24.043692,1790.91
227,25.10046,26.286272,504.5708
228,23.500004,23.5,5686.4263
229,25.662077,27.80022,536.63824
230,23.499254,23.5,8590.411
231,25.857464,28.0,580.31647
232,23.49886,23.5,11698.141
233,26.058325,28.0,741.4606
234,23.500185,23.5,11226.3125
235,26.216957,28.0,892.66345
236,23.509481,23.5,12915.804
237,26.163754,28.0,974.4182
238,23.611698,23.5,12937.234
239,26.293093,27.794827,1233.8989
240,23.52371,23.5,12916.832
241,25.87831,27.997786,1228.938
242,23.499247,23.5,11592.685
243,25.897955,27.813797,1241.5594
244,23.499136,23.5,11894.473
245,26.318628,27.784187,1474.7616
246,23.768845,23.5,12884.523
247,26.514181,27.211506,2023.2521
248,23.985918,23.5,12922.074
249,26.616758,26.616589,2724.02
250,23.500626,23.5,12760.499
251,26.644705,27.76937,1697.109
252,23.500309,23.5,12783.7295
253,26.553637,27.671549,1671.9296
254,23.500313,23.5,12805.88
255,26.553389,27.626005,1658.4976
256,23.499273,23.5,12759.467
257,26.326376,27.628584,1434.3971
258,23.498878,23.5,12755.349
259,26.279835,27.516104,1292.2147
260,23.498621,23.5,11557.056
261,26.241644,27.493504,1106.1556
262,23.49864,23.5,10530.967
263,26.166655,27.474358,847.9153
264,23.499804,23.5,4585.8623
265,24.823015,27.433838,1109.8138
266,23.499882,23.5,3750.355
267,24.596893,26.829533,1070.5073
268,23.499619,23.5,3091.7134
269,23.905275,26.80748,785.2333
270,24.228888,25.304173,816.31323
271,24.299969,24.72508,1235.1683
272,24.157978,24.729187,799.88947
273,23.925545,25.153908,806.9484
274,23.754242,25.721441,800.64124
275,23.644735,26.108057,790.8904
276,23.478676,26.381699,712.42334
277,23.298065,26.844227,700.3749
278,23.25215,27.332916,915.1169
279,23.250128,27.482185,941.91144
280,23.250107,27.500755,997.3098
281,23.250168,27.499798,1052.7089
282,23.250214,27.499634,1094.4277
283,23.25025,27.49955,1131.3579
284,23.250277,27.499481,1280.4072
285,23.2503,27.499434,1516.6497
286,23.250317,27.49939,1648.5984
287,23.25033,27.49936,1776.578
288,23.250341,27.499332,1879.8752
289,23.250347,27.499311,1959.8898
