Step,Temp,Setpoint,Power
1,18.052969,23.5,19823.752
2,18.876974,23.965336,19489.9
3,19.424044,23.5,19150.605
4,19.885214,24.464222,19121.629
5,20.301996,23.5,19089.494
6,20.707413,23.5,19049.97
7,21.062336,23.5,18205.512
8,21.390196,24.673037,17688.355
9,21.677294,23.769785,16752.586
10,21.8774,23.5,16175.711
11,22.092209,23.5,15745.547
12,22.279194,23.5,15358.436
13,22.445724,24.839142,15054.357
14,22.592722,23.5,14798.284
15,22.721102,23.5,14576.831
16,22.8236,26.574219,14476.053
17,22.902985,25.571457,14398.886
18,22.964327,25.388884,14339.878
19,23.011919,25.378782,14294.537
20,23.071852,23.5,14188.399
21,23.144608,23.5,14090.118
22,23.223063,23.5,13997.556
23,23.248997,23.5,13769.049
24,23.250658,23.5,14669.377
25,23.25063,24.230167,14643.187
26,23.250546,23.5,14626.313
27,23.250475,25.395512,14615.756
28,23.250452,23.593704,14580.896
29,23.250443,24.065659,14243.842
30,23.250437,23.5,13705.744
31,23.250427,23.5,12944.882
32,23.280552,24.929873,6314.636
33,23.44424,24.49963,6285.011
34,23.565357,23.710611,5173.362
35,23.502096,23.5,4471.9487
36,23.49941,23.5,2263.9946
37,24.523975,25.836535,3003.5557
38,24.675318,24.678528,1378.9435
39,25.062864,25.20248,1082.4868
40,24.738798,24.73908,925.6523
41,23.499264,23.5,1168.0332
42,24.910078,25.124083,1417.9851
43,23.500097,23.5,1169.5575
44,23.499815,23.5,883.7406
45,24.603464,24.603962,2374.2893
46,23.499678,23.5,1664.7882
47,23.848923,23.851383,3367.3418
48,23.547424,23.5,2928.0916
49,24.585745,24.801323,1868.2273
50,23.499866,23.5,4482.4355
51,24.359715,24.370659,1875.3182
52,23.507723,23.5,3352.2024
53,24.899199,25.955751,1634.9136
54,25.225157,25.225372,1979.6417
55,23.903353,23.90368,4364.782
56,24.188017,24.20556,2512.7522
57,25.151445,25.151913,2455.1118
58,23.61954,23.619808,3197.2632
59,23.516203,23.5,3992.1958
60,24.906782,24.909525,1876.503
61,23.857513,23.84918,2900.4019
62,25.067158,25.75147,1596.3616
63,23.501532,23.5,3045.5654
64,23.499702,23.5,2908.0945
65,23.989937,23.991507,3613.3618
66,23.505571,23.5,4075.251
67,23.637445,23.650925,4529.9756
68,23.519133,23.5,5656.2783
69,24.358934,24.976006,4334.087
70,23.50519,23.5,5049.0693
71,23.90526,23.906399,5989.1753
72,23.849382,24.881527,6674.0293
73,23.594307,24.418125,7001.4463
74,23.32857,23.5,7229.038
75,23.254892,25.347054,7619.5815
76,23.250032,23.5,9446.415
77,23.250023,24.492657,10264.75
78,23.249975,24.005455,10774.919
79,23.249916,23.925934,11189.514
80,23.249851,23.5,12684.949
81,23.24985,23.5,13025.918
82,23.249866,23.5,13325.938
83,23.249887,25.096716,13598.247
84,23.249882,23.617422,14177.788
85,23.249846,23.5,14337.079
86,23.249804,23.5,14433.908
87,23.24979,23.68585,14492.72
88,23.2498,24.63105,14771.883
89,23.249811,24.427006,15038.167
90,23.249811,23.841469,15294.518
91,23.249792,23.5,15543.454
92,23.24977,24.240086,15654.077
93,23.249752,23.5,15757.163
94,23.249744,23.5,15853.057
95,23.249746,23.5,15945.275
96,23.249752,23.5,15993.712
97,23.24976,23.553646,16037.193
98,23.24977,23.927279,16076.8955
99,23.249777,25.06284,16113.093
100,23.249788,24.671545,16077.572
101,23.249802,24.489798,16036.278
102,23.249819,23.5,15989.643
103,23.249836,24.354597,15938.46
104,23.249855,23.5,15834.088
105,23.249874,24.026676,15724.728
106,23.249891,23.5,15610.92
107,23.2499,23.77957,15476.312
108,23.249922,25.37332,15509.778
109,23.249937,23.5,15541.77
110,23.249945,23.5,15572.082
111,23.249949,23.5,15600.574
112,23.249949,24.579847,15666.598
113,23.249949,23.5,15732.555
114,23.24995,23.5,15799.571
115,23.24995,23.5,15866.556
116,23.24995,24.026165,15912.918
117,23.249949,25.711094,15954.578
118,23.249945,23.962132,15993.454
119,23.249939,23.7444,16029.543
120,23.251179,24.36102,17411.408
121,23.251122,23.5,17341.26
122,23.251015,25.352665,17281.742
123,23.250927,23.5,17211.264
124,23.25088,23.982222,17227.346
125,23.25085,23.5,16966.01
126,23.250826,23.906118,16445.86
127,23.2508,24.28466,15779.479
128,23.354065,25.03402,9078.881
129,23.541523,23.559793,9558.122
130,23.788929,24.560602,8028.634
131,23.92685,24.119764,8538.717
132,23.521204,23.521696,8185.0054
133,24.278522,24.279346,7519.4707
134,25.02038,25.40921,4722.924
135,23.499489,23.5,4783.6694
136,24.727991,24.736881,5424.589
137,23.499498,23.5,3993.213
138,24.153316,24.156784,4296.94
139,23.877668,23.877275,3609.4148
140,24.285013,24.286789,4277.9736
141,25.193897,25.19705,5615.839
142,24.144785,24.145454,4110.7925
143,23.499464,23.5,3466.6804
144,24.755695,24.75819,3856.623
145,23.499763,23.5,5524.7505
146,24.508675,24.512589,4801.564
147,23.51139,23.5,7986.8022
148,23.501005,23.5,6513.63
149,25.082031,25.084929,2649.4539
150,23.548471,23.52584,6038.573
151,23.506119,23.5,5123.13
152,25.247599,25.3958,2494.437
153,23.513924,23.5,5040.236
154,24.767015,24.768482,3773.5288
155,23.519287,23.5,4684.5176
156,25.010468,25.01922,2912.9429
157,23.714703,23.694769,5220.9976
158,23.53307,23.5,5389.175
159,24.112953,24.116133,4477.4673
160,24.939562,24.940742,3534.9502
161,24.713808,24.684036,4096.8706
162,25.571232,26.009312,2841.951
163,24.438234,24.438572,4689.149
164,23.796225,23.787804,4709.434
165,23.547173,23.5,5432.7275
166,23.506258,23.5,5310.121
167,23.500263,23.5,5416.797
168,23.610632,23.730686,5590.065
169,23.50981,23.5,5937.412
170,23.513233,23.633224,6103.582
171,23.500725,23.5,6258.53
172,23.251093,27.062532,7919.7876
173,23.250021,23.5,8484.225
174,23.249966,24.130985,8660.67
175,23.249947,23.519018,8938.74
176,23.249918,25.232855,10358.172
177,23.249939,23.949543,10616.141
178,23.24997,23.692049,10829.639
179,23.249996,23.5,11011.95
180,23.250004,23.567188,11575.844
181,23.249979,24.03929,11728.798
182,23.249943,23.5,11822.851
183,23.249926,23.5,11882.91
184,23.24993,24.294407,11943.661
185,23.249943,24.078709,11991.002
186,23.24996,27.006517,12027.205
187,23.249973,25.816454,12054.99
188,23.24998,23.5,12148.623
189,23.24998,23.637415,12236.165
190,23.249973,23.5,12317.2705
191,23.249958,23.5,12394.051
192,23.24994,24.985857,12458.899
193,23.249926,24.649525,12522.268
194,23.249916,23.773663,12584.205
195,23.24991,23.5,12643.9795
196,23.249908,24.595734,12526.87
197,23.249912,24.800545,12402.79
198,23.249922,24.739346,12274.431
199,23.249937,25.15879,12142.298
200,23.249952,23.76941,11975.914
201,23.249968,23.654911,11805.372
202,23.24998,24.58588,11630.687
203,23.249992,26.131721,11452.148
204,23.250004,24.129856,11336.072
205,23.250011,25.910574,11197.398
206,23.250017,23.5,11036.689
207,23.250027,25.797539,10890.874
208,23.25005,24.40317,10817.791
209,23.25007,25.576077,10739.957
210,23.250084,23.5,10655.358
211,23.250093,24.151674,10568.505
212,23.250095,24.066551,10477.7295
213,23.250105,23.5,10391.056
214,23.250122,23.5,10308.04
215,23.249891,25.590862,9924.321
216,23.24959,23.5,10483.071
217,23.24958,23.932318,10377.965
218,23.249584,26.071112,10266.367
219,23.24958,24.200195,10582.501
220,23.249525,26.87691,10464.376
221,23.249466,23.5,10309.362
222,23.249409,23.76753,10106.374
223,23.24936,23.864893,9880.987
224,23.49007,23.92195,3553.938
225,23.499826,23.5,3015.2993
226,23.499855,23.5,2600.7078
227,23.499783,23.5,2241.8254
228,23.499748,23.5,802.01935
229,24.247818,24.24912,426.59302
230,23.50856,23.5,256.2265
231,23.500975,23.5,242.46864
232,23.70662,23.739183,124.06402
