Step,Temp,Setpoint,Power
1,22.350283,23.5,3714.9707
2,22.66305,23.5,3712.0742
3,22.82036,24.202335,3616.7573
4,22.898357,23.648916,3486.5984
5,22.956078,25.088184,3358.0283
6,23.01382,23.660818,3262.1365
7,23.06541,24.009628,3207.7144
8,23.107155,23.5,3175.8691
9,23.13993,25.953781,3156.9412
10,23.16565,23.986008,3146.9014
11,23.185762,25.280632,3143.142
12,23.201239,23.5,3141.8013
13,23.212988,25.307297,3143.9194
14,23.221733,24.710638,3148.4258
15,23.228033,25.007694,3154.7056
16,23.232347,23.5,3164.297
17,23.235044,25.055819,3175.2854
18,23.236427,23.5,3187.2068
19,23.236742,23.5,3199.8247
20,23.236195,23.82849,3213.801
21,23.234945,24.75309,3228.375
22,23.233126,24.358088,3243.4004
23,23.230843,23.5,3258.8196
24,23.24795,23.896229,3020.559
25,23.248539,24.67569,3014.1917
26,23.248661,24.672834,3030.1113
27,23.248785,25.945045,3031.3167
28,23.248867,25.044605,3039.2148
29,23.248917,24.509296,2983.0417
30,23.248957,25.761175,2692.2622
31,23.249,23.5,2414.9658
32,24.352596,24.78511,453.98785
33,23.507011,23.5,2058.7065
34,23.926125,23.927114,2328.545
35,24.11948,24.149773,2273.1577
36,23.746288,23.742987,4092.6313
37,23.776926,23.782368,4891.0127
38,25.746275,26.458141,793.25653
39,24.93378,24.93424,4713.301
40,23.872135,23.873682,9569.669
41,23.73549,23.735641,8861.369
42,23.530584,23.5,10407.183
43,23.501795,23.5,9620.565
44,23.498503,23.5,9156.98
45,23.727642,23.756268,7744.453
46,23.79194,23.801905,8519.216
47,24.493567,24.494278,5656.7236
48,23.52974,23.530352,9481.797
49,23.50162,23.5,8302.787
50,23.883602,23.88601,8754.766
51,23.501802,23.5,9281.698
52,25.809322,25.80974,2662.7283
53,26.221754,26.221306,3260.1428
54,23.910435,23.911036,13250.184
55,24.093056,24.094055,13115.604
56,23.560472,23.541386,13248.024
57,25.718853,25.718744,3985.1997
58,24.986298,24.983992,6997.3906
59,25.224504,25.253292,5545.841
60,23.601738,23.5,13240.999
61,24.111784,24.113451,10748.417
62,24.161764,24.172096,9310.785
63,25.072374,25.072823,3960.3535
64,23.948593,23.949215,8791.141
65,24.640894,24.644432,6138.9043
66,25.262463,25.264278,3822.7964
67,23.498613,23.5,10373.348
68,24.494646,24.495491,3670.0251
69,25.646776,25.647083,1796.081
70,26.34993,26.351246,1723.0719
71,23.581648,23.58215,7744.028
72,24.646233,26.18779,1076.2169
73,23.499739,23.5,3097.3765
74,24.313343,24.787754,1022.5968
75,23.97634,23.97607,1508.0006
76,23.916384,23.913519,1236.8682
77,24.109375,24.408087,759.0153
78,24.14853,24.564377,764.51013
79,23.808348,23.85759,790.15106
80,23.381876,23.5,807.01807
81,23.259336,24.393305,725.0668
82,23.250322,23.5,984.59735
83,23.249891,25.516005,881.38293
84,23.250254,23.835953,1081.0612
85,23.250355,24.867413,1533.4843
86,23.25041,26.088078,1784.4944
87,23.250446,24.038044,1947.1409
88,23.250471,24.367504,2112.6252
89,23.25039,23.774443,2240.889
90,23.250399,24.95866,2343.5112
91,23.250406,25.228662,2428.0554
92,23.25041,24.521936,2499.5195
93,23.250412,24.428328,2561.2249
94,23.250412,23.5,2625.9187
95,23.250412,23.5,2684.262
96,23.250412,23.5,2735.6345
97,23.250412,25.526957,2782.817
98,23.25041,24.621902,2826.6323
99,23.25041,23.79283,2867.7156
100,23.25041,23.5,2909.2407
101,23.25041,23.946264,2949.3406
102,23.250408,24.989685,2988.0208
103,23.250408,23.5,3025.428
104,23.250406,23.5,3050.6038
105,23.250404,26.159084,3074.23
106,23.2504,23.5,3095.9824
107,23.250395,24.664465,3116.0696
108,23.25039,25.592361,3140.8567
109,23.250383,23.5,3165.2783
110,23.250378,25.395643,3188.9976
111,23.25037,23.634045,3212.009
112,23.250362,23.5,3230.0076
113,23.250355,24.444315,3247.2432
114,23.24998,24.008543,3262.7197
115,23.247904,25.055382,3273.88
116,23.244452,25.515678,3284.565
117,23.240294,26.904661,3294.8857
118,23.236015,23.5,3304.174
119,23.2316,25.431078,3313.7534
120,23.248081,24.969297,3077.5977
121,23.248634,23.5,3076.9766
122,23.248743,23.5,3098.428
123,23.248852,23.937376,3107.0398
124,23.248924,23.928513,3115.8335
125,23.248968,25.682915,3073.1418
126,23.249,25.102957,2791.7783
127,23.249039,26.970089,2508.5076
128,24.345905,24.446114,502.25885
129,24.968586,25.152563,569.7269
130,24.426212,24.423977,1679.7854
131,24.460468,24.463604,1816.974
132,25.347645,25.34856,2022.9297
133,24.264727,24.265902,5267.113
134,23.680109,23.676487,6803.9297
135,25.497002,25.497244,2342.5825
136,25.786854,25.787851,2917.919
137,23.498981,23.5,11419.597
138,26.058737,27.052944,1699.6063
139,25.136644,25.137945,6594.9644
140,23.499332,23.5,12865.235
141,24.080847,24.133053,7284.303
142,26.129114,26.396751,2492.491
143,23.499077,23.5,11379.103
