Step,Temp,Setpoint,Power
1,19.621983,23.872387,14184.3955
2,20.133982,24.91347,14033.1875
3,20.450855,23.942703,13879.25
4,20.71479,24.619066,13909.267
5,20.944275,26.486599,13939.961
6,21.180098,23.5,13964.096
7,21.395346,23.5,13309.344
8,21.546425,24.365356,12947.965
9,21.711195,23.5,12465.827
10,21.85125,23.5,12285.54
11,21.970322,24.830719,12124.8
12,22.083727,23.796776,11960.032
13,22.192528,24.08944,11833.926
14,22.290697,24.100855,11727.764
15,22.382093,24.76544,11652.765
16,22.46047,23.978493,11628.69
17,22.526127,23.578773,11616.513
18,22.581516,24.192549,11613.842
19,22.624912,24.332478,11639.833
20,22.661251,26.765764,11655.352
21,22.692907,24.935207,11675.542
22,22.720472,23.69495,11699.41
23,22.74386,23.5,11726.872
24,22.816431,24.467535,12939.114
25,22.88041,23.5,12994.316
26,22.921944,24.854856,13071.32
27,22.950438,23.5,12920.468
28,22.974398,26.059566,12694.782
29,22.996977,23.5,12476.591
30,23.019547,24.393177,12078.306
31,23.043438,25.871433,11638.354
32,23.460579,24.93471,4945.347
33,23.851492,25.074781,3860.515
34,24.054258,24.061422,3423.7117
35,23.502907,23.5,3253.6296
36,23.499664,23.5,2949.4558
37,23.499363,23.5,2130.4204
38,23.868155,23.871403,2576.3005
39,24.393518,24.395632,2071.869
40,23.840775,23.840914,2262.256
41,25.412115,25.93636,448.37177
42,25.902718,25.902933,542.416
43,23.499498,23.5,815.74084
44,25.348497,25.358744,325.96054
45,24.081059,24.042202,1472.2362
46,23.51748,23.507355,671.4816
47,25.169147,25.169445,210.74681
48,24.490406,24.488268,178.98169
49,25.727522,25.736048,88.10561
50,25.035408,25.033903,109.1939
51,23.976835,23.97658,766.2276
52,25.667223,25.9234,88.10561
53,23.499273,23.5,702.9998
54,23.499327,23.5,611.0043
55,23.522522,23.5,950.82477
56,24.677807,24.678062,110.367004
57,25.339762,25.340897,88.10561
58,23.500488,23.5,1030.3398
59,25.311419,25.325727,88.10561
60,24.02616,24.012867,350.97864
61,25.204306,25.205427,88.86447
62,26.354723,26.355108,88.10561
63,24.326162,24.32562,395.2751
64,24.079195,24.073088,230.4258
65,23.511108,23.5,298.1076
66,25.205175,25.37654,88.10561
67,23.517271,23.5,435.66748
68,23.837542,23.86594,139.8667
69,24.028578,24.060484,373.67734
70,24.627884,24.630484,295.52438
71,25.867653,26.498756,205.37775
72,23.500923,23.5,2142.5642
73,23.500765,23.5,2375.613
74,23.804176,26.10334,2602.0696
75,24.047443,26.313194,2988.8816
76,23.735037,24.424793,4153.274
77,23.422655,23.808867,4620.7383
78,23.25815,23.638372,5071.7246
79,23.250341,23.5,5701.3823
80,23.250172,26.62097,7090.9526
81,23.250208,24.125574,7457.8135
82,23.250237,26.158571,7731.814
83,23.250257,24.302528,7966.218
84,23.250338,23.724514,8700.701
85,23.250334,26.257738,9029.8
86,23.250309,24.007889,9292.535
87,23.25029,24.549236,9529.763
88,23.250277,24.503252,9775.019
89,23.25027,24.342562,10007.167
90,23.250269,23.830067,10229.494
91,23.250269,24.098595,10444.761
92,23.250267,26.060936,10536.491
93,23.250265,24.841274,10619.041
94,23.250261,23.991259,10694.493
95,23.250256,23.948738,10763.734
96,23.25025,23.5,10921.497
97,23.250244,24.011257,11076.821
98,23.250237,23.5,11232.649
99,23.250227,23.804062,11387.779
100,23.250217,24.128788,11468.614
101,23.24968,25.222683,11543.667
102,23.240221,23.522736,11593.876
103,23.222878,24.154577,11641.222
104,23.209663,24.99433,11642.836
105,23.20221,23.5,11638.833
106,23.198296,23.5,11632.175
107,23.19645,24.211344,11622.818
108,23.18491,26.006786,11673.2705
109,23.164236,24.598776,11724.556
110,23.138485,24.652313,11775.319
111,23.110125,26.096933,11825.647
112,23.09139,24.572033,11815.541
113,23.082056,25.041487,11800.982
114,23.07834,24.61385,11784.791
115,23.077991,23.658148,11766.655
116,23.071993,23.5,11827.648
117,23.06021,23.5,11893.111
118,23.045279,25.963673,11958.452
119,23.0288,24.21114,12025.749
120,23.071787,24.690239,13211.252
121,23.112648,24.048868,13253.299
122,23.135273,23.5,13309.713
123,23.147789,24.290886,13276.263
124,23.151934,23.675442,13080.569
125,23.150776,23.5,12870.654
126,23.147114,23.5,12542.767
127,23.143555,24.879648,12177.072
128,23.522701,24.619698,5776.9346
129,23.499586,23.5,5277.4893
130,23.955498,25.134607,3571.8916
131,24.282873,25.062855,2765.8518
132,24.801538,24.802114,2248.2861
133,24.103321,24.103937,830.11285
134,23.580725,23.578766,490.53043
135,24.263145,24.264128,277.66934
136,24.978506,24.979383,174.62152
137,23.619806,23.621037,385.4837
138,23.508469,23.5,237.26045
139,23.498745,23.5,354.7029
140,23.497969,23.5,322.5109
141,23.49797,23.5,341.59045
142,23.814795,23.817165,333.862
143,24.383501,24.3857,342.1551
144,23.67262,23.673317,452.56308
145,24.348042,24.348898,424.62875
146,25.411259,25.411825,182.56808
147,23.499329,23.5,505.58533
148,25.528013,26.8906,88.10561
149,23.499245,23.5,577.6935
150,23.499336,23.5,489.44278
151,23.498665,23.5,523.32965
152,24.648111,24.648397,308.47827
153,24.045132,24.039856,444.8645
154,23.507238,23.5,640.99915
155,23.500559,23.5,778.7562
156,23.505873,23.5,872.2634
157,25.435442,26.51776,88.10561
158,25.786465,25.786657,88.10561
159,23.501852,23.5,613.31354
160,23.793169,23.82253,88.10561
161,24.957144,24.957556,88.10561
162,25.238283,25.240871,103.54624
163,23.501392,23.5,479.02863
164,23.499722,23.5,328.66672
165,24.02166,24.025433,594.0551
166,24.516642,24.519611,620.8679
167,24.786795,24.824741,708.2706
168,24.752613,25.011766,1683.6471
169,24.668371,25.370573,2846.4856
170,24.551956,24.606052,3135.6396
171,24.459503,25.033705,3520.7932
172,23.854517,24.079168,4648.9663
173,23.58405,24.961088,5055.5312
174,23.393793,23.5,5355.251
175,23.25529,23.5,5698.7305
176,23.250383,24.419361,7362.8613
177,23.25022,24.510729,7611.1333
178,23.25025,23.69394,7882.3945
179,23.250273,25.348122,8082.145
180,23.250347,24.472351,8783.382
181,23.25034,25.34151,9074.37
182,23.250313,24.86326,9295.26
183,23.250294,25.623236,9488.17
184,23.250288,24.373457,9630.103
185,23.250286,23.951572,9753.375
186,23.250286,25.565872,9863.007
187,23.250282,25.74898,9961.991
188,23.250277,24.581438,10071.71
189,23.250269,24.614275,10174.909
190,23.25026,24.074814,10270.385
191,23.25025,24.05622,10362.582
192,23.250238,23.5,10505.767
193,23.250229,26.306482,10649.104
194,23.25022,24.99401,10792.247
195,23.244486,26.261057,10920.576
196,23.236471,24.640146,10865.699
197,23.228477,24.911419,10803.074
198,23.221037,24.27756,10735.983
199,23.21417,23.991318,10664.756
200,23.204775,24.465773,10750.407
201,23.19302,24.856829,10840.191
202,23.180006,25.137375,10931.536
203,23.166412,24.799389,11024.501
204,23.158064,25.213617,11017.806
205,23.15484,24.9123,11006.073
206,23.15489,23.5,10992.992
207,23.157349,23.5,10977.303
208,23.153706,24.459091,11002.567
209,23.144142,24.596,11028.645
210,23.131376,23.5,11054.854
211,23.117033,25.017483,11080.397
212,23.103287,24.644121,11315.472
213,23.090248,25.944435,11557.6455
214,23.077236,24.862516,11805.803
215,23.063786,23.5,12059.763
216,23.108664,24.979837,13216.442
217,23.149815,23.5,13232.233
218,23.171667,24.04156,13259.619
219,23.182894,23.80162,13054.07
