Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,5.777017E-01,0.000000E+00,5.777017E-01,9.057964E+03,2.139911E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
00:30:00,5.777017E-01,0.000000E+00,5.777017E-01,8.989174E+03,2.132779E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
00:45:00,5.777017E-01,0.000000E+00,5.777017E-01,8.920383E+03,2.125648E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
01:00:00,5.777017E-01,0.000000E+00,5.777017E-01,8.851593E+03,2.118516E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
01:15:00,5.777017E-01,0.000000E+00,5.777017E-01,8.805733E+03,2.113762E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
01:30:00,5.777017E-01,0.000000E+00,5.777017E-01,8.759873E+03,2.109008E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
01:45:00,5.777017E-01,0.000000E+00,5.777017E-01,8.714013E+03,2.104252E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
02:00:00,5.777017E-01,0.000000E+00,5.777017E-01,8.668152E+03,2.099498E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
02:15:00,5.777017E-01,0.000000E+00,5.777017E-01,8.633757E+03,2.095932E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
02:30:00,5.777017E-01,0.000000E+00,5.777017E-01,8.599362E+03,2.092366E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
02:45:00,5.777017E-01,0.000000E+00,5.777017E-01,8.564967E+03,2.088801E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
03:00:00,5.777017E-01,0.000000E+00,5.777017E-01,8.530572E+03,2.085235E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
03:15:00,5.777017E-01,0.000000E+00,5.777017E-01,8.496177E+03,2.081669E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
03:30:00,5.777017E-01,0.000000E+00,5.777017E-01,8.461782E+03,2.078103E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
03:45:00,5.777017E-01,0.000000E+00,5.777017E-01,8.427387E+03,2.074537E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
04:00:00,5.777017E-01,0.000000E+00,5.777017E-01,8.392991E+03,2.070971E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
04:15:00,5.777017E-01,0.000000E+00,5.777017E-01,8.370061E+03,2.068594E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
04:30:00,5.777017E-01,0.000000E+00,5.777017E-01,8.347131E+03,2.066217E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
04:45:00,5.777017E-01,0.000000E+00,5.777017E-01,8.324201E+03,2.063840E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
05:00:00,5.777017E-01,0.000000E+00,5.777017E-01,8.301271E+03,2.061462E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
05:15:00,5.777017E-01,0.000000E+00,5.777017E-01,8.324201E+03,2.063840E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
05:30:00,5.777017E-01,0.000000E+00,5.777017E-01,8.347131E+03,2.066217E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
05:45:00,5.777017E-01,0.000000E+00,5.777017E-01,8.370061E+03,2.068594E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
06:00:00,5.777017E-01,0.000000E+00,5.777017E-01,8.392991E+03,2.070971E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
06:15:00,5.777017E-01,0.000000E+00,5.777017E-01,8.473247E+03,2.079291E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
06:30:00,5.777017E-01,0.000000E+00,5.777017E-01,8.553502E+03,2.087612E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
06:45:00,5.777017E-01,0.000000E+00,5.777017E-01,8.633757E+03,2.095932E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
07:00:00,5.777017E-01,0.000000E+00,5.777017E-01,8.714013E+03,2.104252E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
07:15:00,5.777017E-01,0.000000E+00,5.777017E-01,8.908918E+03,2.124459E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
07:30:00,5.777017E-01,0.000000E+00,5.777017E-01,9.103824E+03,2.144666E+04,5.777017E-01,0.000000E+00,5.777017E-01,5.805085E+03,1.722984E+04
