Step,Temp,Setpoint,Power
1,19.621983,28.0,14184.3955
2,20.133982,28.0,14033.1875
3,20.450855,28.0,13879.25
4,20.71479,28.0,13909.267
5,20.944275,28.0,13939.961
6,21.180098,28.0,13964.096
7,21.395346,28.0,13309.344
8,21.546425,28.0,12947.965
9,21.711195,28.0,12465.827
10,21.85125,28.0,12285.54
11,21.970322,28.0,12124.8
12,22.083727,28.0,11960.032
13,22.192528,28.0,11833.926
14,22.290697,28.0,11727.764
15,22.382093,28.0,11652.765
16,22.46047,28.0,11628.69
17,22.526127,28.0,11616.513
18,22.581516,28.0,11613.842
19,22.624912,28.0,11639.833
20,22.661251,28.0,11655.352
21,22.692907,28.0,11675.542
22,22.720472,28.0,11699.41
23,22.74386,28.0,11726.872
24,22.816431,28.0,12939.114
25,22.88041,28.0,12994.316
26,22.921944,28.0,13071.32
27,22.950438,28.0,12920.468
28,22.974398,28.0,12694.782
29,22.996977,28.0,12476.591
30,23.019547,28.0,12078.306
31,23.043438,26.0,11638.354
32,23.460579,26.0,4945.347
33,23.851492,26.0,3860.515
34,24.155807,26.0,2994.4438
35,24.415987,26.0,2185.3198
36,25.184175,26.0,1137.546
37,23.99944,24.0,537.45026
38,25.293835,26.0,868.67957
39,23.999294,24.0,801.67206
40,25.5033,26.0,647.8938
41,23.9994,24.0,520.66174
42,25.657373,26.0,460.32382
43,23.9993,24.0,552.4419
44,25.557005,26.0,285.3199
45,23.999279,24.0,604.2627
46,25.601227,26.0,193.00235
47,23.99929,24.0,647.2779
48,25.283258,26.0,117.1979
49,24.034058,24.0,779.2818
50,25.30455,26.0,88.10561
51,24.033964,24.0,754.2824
52,25.652107,26.0,88.10561
53,24.023363,24.0,893.84155
54,25.747879,26.0,88.10561
55,24.001945,24.0,620.4492
56,25.823376,26.0,88.10561
57,24.039171,24.0,884.1118
58,25.943422,26.0,88.10561
59,24.002018,24.0,541.76886
60,25.770288,26.0,88.10561
61,24.031534,24.0,645.19995
62,25.805763,26.0,88.10561
63,24.001253,24.0,417.43234
64,25.297401,26.0,88.10561
65,24.000143,24.0,310.95825
66,25.218166,26.0,88.10561
67,24.008327,24.0,88.10561
68,25.322578,26.0,88.10561
69,24.011822,24.0,375.91092
70,25.156193,26.0,151.6982
71,24.008024,24.0,308.69357
72,24.324547,26.0,1698.0182
73,24.482063,26.0,2462.8696
74,24.486034,26.0,2601.9934
75,24.389353,26.0,2871.1506
76,23.94476,26.0,4052.3735
77,23.597681,26.0,4527.2153
78,23.37206,26.0,4912.222
79,23.254503,26.0,5399.523
80,23.25034,26.0,7020.2
81,23.250214,26.0,7338.7715
82,23.250248,26.0,7653.2134
83,23.250273,26.0,7903.6904
84,23.250357,26.0,8648.504
85,23.250357,26.0,8985.566
86,23.250336,26.0,9259.882
87,23.250317,26.0,9498.002
88,23.250303,26.0,9746.759
89,23.250298,26.0,9981.917
90,23.250298,26.0,10206.779
91,23.250296,26.0,10424.146
92,23.250296,26.0,10517.762
93,23.250292,26.0,10601.863
94,23.250288,26.0,10678.693
95,23.25028,26.0,10749.168
96,23.250275,26.0,10907.916
97,23.250267,26.0,11066.322
98,23.25026,26.0,11221.372
99,23.25025,26.0,11377.056
100,23.250238,26.0,11458.578
101,23.250229,26.0,11535.669
102,23.242218,26.0,11588.987
103,23.225965,26.0,11636.646
104,23.213282,26.0,11638.516
105,23.206045,26.0,11634.72
106,23.202219,26.0,11628.241
107,23.200396,26.0,11619.053
108,23.188822,26.0,11669.67
109,23.168076,26.0,11721.116
110,23.142221,26.0,11772.046
111,23.113737,26.0,11822.54
112,23.094868,26.0,11812.598
113,23.085388,26.0,11798.203
114,23.081526,26.0,11782.168
115,23.081028,26.0,11764.182
116,23.074884,26.0,11825.281
117,23.062962,26.0,11890.856
118,23.04789,26.0,11956.31
119,23.031273,26.0,12023.717
120,23.074308,26.0,13207.773
121,23.1152,26.0,13248.939
122,23.13779,26.0,13305.878
123,23.150236,26.0,13272.522
124,23.154305,26.0,13077.011
125,23.153069,26.0,12867.262
126,23.149323,26.0,12539.538
127,23.14568,26.0,12174.009
128,23.524492,26.0,5774.4185
129,23.880623,26.0,4709.06
130,24.151985,26.0,3597.7617
131,24.394238,26.0,2766.894
132,25.133097,26.0,1289.575
133,23.999245,24.0,570.52075
134,25.20945,26.0,1063.2941
135,23.999023,24.0,676.4055
136,25.373516,26.0,786.98083
137,23.998682,24.0,282.15973
138,25.53553,26.0,88.10561
139,23.998571,24.0,406.2579
140,25.541086,26.0,88.10561
141,23.998693,24.0,460.5004
142,25.71266,26.0,271.95297
143,23.998701,24.0,509.5819
144,25.451664,26.0,88.10561
145,23.999262,24.0,504.3285
146,25.466732,26.0,88.10561
147,23.999271,24.0,423.93118
148,25.841248,26.0,94.765
149,23.999119,24.0,494.54242
150,25.950659,26.0,94.03497
151,23.9992,24.0,579.74695
152,25.998476,26.0,104.69691
153,23.999226,24.0,607.2372
154,25.998474,26.0,88.10561
155,23.99988,24.0,770.8896
156,25.923897,26.0,88.10561
157,24.002188,24.0,524.9273
158,25.864555,26.0,88.10561
159,24.001663,24.0,451.53366
160,25.411394,26.0,88.10561
161,24.000269,24.0,399.51144
162,25.57291,26.0,111.07174
163,24.02287,24.0,452.74802
164,25.3378,26.0,88.10561
165,24.000032,24.0,576.7
166,25.489483,26.0,271.12497
167,24.015732,24.0,952.6478
168,24.412474,26.0,1939.4952
169,24.604967,26.0,2575.316
170,24.651304,26.0,3010.9153
171,24.555897,26.0,3384.7607
172,24.100916,26.0,4565.2046
173,23.733198,26.0,4973.576
174,23.474468,26.0,5274.491
175,23.305656,26.0,5521.798
176,23.252241,26.0,7232.49
177,23.250292,26.0,7533.8765
178,23.250252,26.0,7798.5786
179,23.250277,26.0,8018.5063
180,23.25035,26.0,8727.739
181,23.250347,26.0,9025.143
182,23.250326,26.0,9256.816
183,23.250309,26.0,9450.031
184,23.250307,26.0,9595.372
185,23.250307,26.0,9722.044
186,23.250309,26.0,9834.764
187,23.250305,26.0,9936.516
188,23.250301,26.0,10048.697
189,23.250294,26.0,10153.939
190,23.250282,26.0,10250.961
191,23.250273,26.0,10344.615
192,23.250261,26.0,10488.973
193,23.25025,26.0,10633.393
194,23.25024,26.0,10777.538
195,23.246958,26.0,10913.165
196,23.24107,26.0,10858.958
197,23.234146,26.0,10796.884
198,23.227144,26.0,10730.234
199,23.22046,26.0,10659.379
200,23.211132,26.0,10745.158
201,23.19935,26.0,10835.073
202,23.18624,26.0,10926.56
203,23.172497,26.0,11019.676
204,23.163965,26.0,11013.226
205,23.160534,26.0,11001.737
206,23.16036,26.0,10988.895
207,23.162598,26.0,10973.414
208,23.158728,26.0,10998.8955
209,23.148935,26.0,11025.186
210,23.135939,26.0,11051.604
211,23.121368,26.0,11077.351
212,23.107393,26.0,11312.454
213,23.094131,26.0,11554.651
214,23.080904,26.0,11802.836
215,23.06725,26.0,12056.824
216,23.112135,26.0,13211.673
217,23.15328,26.0,13226.612
218,23.175055,26.0,13254.603
219,23.186165,26.0,13049.226
220,23.186924,26.0,12796.91
221,23.181051,26.0,12544.923
222,23.172585,26.0,11976.877
223,23.165924,26.0,11293.97
224,23.61424,26.0,4917.403
225,23.998802,26.0,3831.9905
226,24.321363,26.0,3161.7048
227,24.59715,26.0,2536.7761
228,25.3917,26.0,1824.8157
229,23.999193,24.0,683.75653
230,25.258528,26.0,611.26984
231,23.999163,24.0,875.4205
232,25.422659,26.0,263.74734
233,23.99931,24.0,340.98123
234,25.589464,26.0,88.10561
235,23.998554,24.0,441.11032
236,25.618788,26.0,88.10561
237,23.998821,24.0,437.6717
238,25.782745,26.0,106.03311
239,23.998598,24.0,549.13837
240,25.553793,26.0,128.16847
241,23.999102,24.0,461.62167
242,25.560274,26.0,128.2145
243,23.999275,24.0,418.08408
244,25.887249,26.0,148.32974
245,23.999184,24.0,512.71234
246,25.964546,26.0,139.57256
247,23.999207,24.0,604.149
248,25.990519,26.0,152.32355
249,23.999105,24.0,597.9437
250,25.996172,26.0,206.17822
251,23.99913,24.0,638.8373
252,25.995958,26.0,127.586006
253,23.999275,24.0,622.77844
254,25.998943,26.0,88.10561
255,23.999846,24.0,651.188
256,25.834753,26.0,88.10561
257,24.00171,24.0,477.58707
258,25.735643,26.0,88.10561
259,24.00245,24.0,449.25824
260,25.69401,26.0,133.56598
261,24.022469,24.0,604.92816
262,25.365732,26.0,118.05888
263,23.999971,24.0,291.0524
264,24.30806,26.0,777.56726
265,24.57833,26.0,1554.3153
266,24.632387,26.0,2179.8276
267,24.552944,26.0,2400.7722
268,24.100506,26.0,3800.3313
269,23.752893,26.0,4439.827
270,23.476479,26.0,4974.291
271,23.314554,26.0,5458.2026
272,23.253273,26.0,7001.6465
273,23.250332,26.0,7282.914
274,23.250246,26.0,7437.231
275,23.250261,26.0,7547.287
276,23.250359,26.0,8452.621
277,23.250364,26.0,8964.981
278,23.25034,26.0,9417.11
279,23.250309,26.0,9837.002
280,23.25027,26.0,9790.989
281,23.250248,26.0,9716.128
282,23.25024,26.0,9613.524
283,23.250242,26.0,9500.371
284,23.250257,26.0,9662.713
285,23.250263,26.0,9822.546
286,23.25026,26.0,9976.593
287,23.250248,26.0,10125.911
288,23.250225,26.0,10292.365
289,23.250208,26.0,10455.272
290,23.250196,26.0,10619.511
291,23.25019,26.0,10783.562
292,23.250185,26.0,10757.679
293,23.250183,26.0,10723.318
294,23.250181,26.0,10683.609
295,23.250181,26.0,10638.856
296,23.250185,26.0,10745.981
297,23.250187,26.0,10855.996
298,23.250185,26.0,10966.483
299,23.250181,26.0,11077.312
300,23.250177,26.0,11161.325
301,23.241877,26.0,11221.981
302,23.22441,26.0,11277.363
303,23.201105,26.0,11331.619
304,23.179976,26.0,11355.405
305,23.16188,26.0,11377.399
306,23.145382,26.0,11397.99
307,23.129644,26.0,11417.243
308,23.119928,26.0,11406.273
309,23.115942,26.0,11392.372
310,23.116034,26.0,11375.499
311,23.118671,26.0,11357.208
312,23.16503,26.0,12415.471
313,23.193485,26.0,12473.462
314,23.194204,26.0,12542.838
315,23.179441,26.0,12409.504
316,23.175795,26.0,12265.429
317,23.185936,26.0,12084.913
318,23.2055,26.0,11613.616
319,23.233412,26.0,11030.865
320,23.691126,26.0,4639.671
321,24.065557,26.0,3516.7942
322,24.370771,26.0,2794.1057
323,24.625902,26.0,2120.7173
324,25.432896,26.0,1629.6024
325,23.999231,24.0,627.6656
326,25.318594,26.0,643.1876
327,23.999441,24.0,917.5929
328,25.511402,26.0,193.4941
329,24.000185,24.0,1301.8684
330,25.657162,26.0,366.94485
331,23.99854,24.0,461.1769
332,25.650497,26.0,88.10561
333,23.998924,24.0,447.9181
334,25.819096,26.0,105.79474
335,23.998737,24.0,561.6781
336,25.591908,26.0,125.66775
337,23.999172,24.0,481.34842
338,25.603333,26.0,124.39522
339,23.999313,24.0,439.25726
340,25.967907,26.0,145.14464
341,23.999224,24.0,545.0844
342,25.996357,26.0,159.24388
343,23.999252,24.0,540.69995
344,25.995396,26.0,189.47774
345,23.999231,24.0,646.1241
346,25.99565,26.0,203.73692
347,23.999138,24.0,526.28357
348,25.999187,26.0,123.88286
349,23.999313,24.0,500.16882
350,25.99562,26.0,88.10561
351,23.99939,24.0,622.09033
352,25.752487,26.0,88.10561
353,24.002676,24.0,533.49567
354,25.733112,26.0,88.10561
355,24.001696,24.0,411.30264
356,25.415848,26.0,126.931076
357,24.000141,24.0,382.54837
358,25.579409,26.0,100.371925
359,24.02734,24.0,302.00336
360,24.3876,26.0,888.27954
361,24.668877,26.0,1831.3354
362,24.725855,26.0,2658.0964
363,24.649855,26.0,3106.7563
364,24.202984,26.0,4398.5864
365,23.844284,26.0,4905.986
366,23.57972,26.0,5302.333
367,23.412447,26.0,5642.9272
368,23.256145,26.0,7094.884
369,23.25048,26.0,7647.134
370,23.250273,26.0,7841.595
371,23.2503,26.0,8089.951
372,23.250393,26.0,8777.939
373,23.250393,26.0,9048.741
374,23.25037,26.0,9245.144
375,23.25035,26.0,9404.608
376,23.250338,26.0,9457.19
377,23.250332,26.0,9491.95
378,23.250328,26.0,9509.023
379,23.250324,26.0,9511.869
380,23.250319,26.0,9612.154
381,23.250313,26.0,9707.216
382,23.250303,26.0,9794.914
383,23.250294,26.0,9879.817
384,23.250233,26.0,9200.1455
385,23.250221,26.0,9230.018
386,23.250214,26.0,9267.281
387,23.250206,26.0,9307.957
388,23.250198,26.0,9349.823
389,23.25019,26.0,9392.098
390,23.250185,26.0,9434.194
391,23.250177,26.0,9475.739
392,23.25017,26.0,9479.989
393,23.250164,26.0,9481.197
394,23.25016,26.0,9480.75
395,23.250156,26.0,9477.234
396,23.250156,26.0,9510.48
397,23.250154,26.0,9544.38
398,23.25015,26.0,9578.06
399,23.250147,26.0,9611.247
400,23.25014,26.0,9550.036
401,23.250135,26.0,9483.989
402,23.250134,26.0,9415.037
403,23.250135,26.0,9343.551
404,23.250143,26.0,9335.384
405,23.250147,26.0,9323.383
406,23.250145,26.0,9308.147
407,23.250141,26.0,9289.08
408,23.250134,26.0,9359.888
409,23.250128,26.0,9435.993
410,23.250124,26.0,9514.698
411,23.250122,26.0,9556.86
412,23.250122,26.0,9461.109
413,23.25012,26.0,9357.69
414,23.25012,26.0,9195.729
415,23.250118,26.0,9014.653
416,23.250118,26.0,8912.585
417,23.250116,26.0,8802.137
418,23.250114,26.0,8678.29
419,23.250114,26.0,8547.132
420,23.250114,26.0,8220.622
421,23.250114,26.0,7881.8237
422,23.250114,26.0,7472.3315
423,23.250116,26.0,7038.1255
424,23.250116,26.0,6674.7725
425,23.250116,26.0,6297.334
426,23.250118,26.0,6118.117
427,23.250122,26.0,5982.1006
428,23.250069,26.0,5549.1416
429,23.250074,26.0,5488.7944
430,23.250078,26.0,5362.6064
431,23.250082,26.0,5220.4326
